ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1513 202.597.119,"Eckeinstieg Duscholux Bella Vita 3 Plus Gleittüren 2-teilig Höhe 200 cm (ohne Aufpreis für Höhe bis 210 cm) inkl. Soft-Close Funktion Breite bis 150 cm Silber hochglanzeloxiert Echtglas klar CareTec Pro",Andere,,,,

1519 873.000.000,"Montagepauschale Duscholux, Bella Vita 3, Eckeinstieg (Gleittüren), Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1372 264.591.125,"Gleittüre Duscholux Optima 400 Breite 1200 mm (1178 - 1228 mm) Seitenwand rechts 2-teilig mit Seitenwand auf Festteilseite, Höhe 1900 mm Breite Seitenwand 900 mm (878 - 903 mm) Silbereloxiert Echtglas klar CareTec",Andere,,,,

1511 111.000.000,"Montagepauschale Duscholux für Optima 400 Gleittüre mit Seitenwand",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1372 250.591.125,"Eckeinstieg Duscholux Optima 400 Breite 1000 x 900 mm (978 - 1003 x 878 - 903 mm) kurzer Schenkel rechts Gleittüren 2-teilig Höhe 1900 mm Silbereloxiert Echtglas klar CareTec",Andere,,,,

1511 110.000.000,"Montagepauschale Duscholux für Optima 400 Eckeinstieg",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1372 251.591.118,"Eckeinstieg Duscholux Optima 400 Breite 750 - 1200 mm Höhe 1900 mm Gleittüren 2-teilig Massanfertigung Silbereloxiert Echtglas klar",Andere,,,,

1511 110.000.000,"Montagepauschale Duscholux für Optima 400 Eckeinstieg",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1372 273.591.118,"Gleittüre Duscholux Optima 400 Breite 1400 m (1378 - 1428 mm) Seitenwand links 2-teilig mit Seitenwand auf Verschlussseite, Höhe 1900 mm Breite Seitenwand 900 mm (878 - 903 mm) Silbereloxiert Echtglas klar",Andere,,,,

1511 111.000.000,"Montagepauschale Duscholux für Optima 400 Gleittüre mit Seitenwand",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

