ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1515 091.501.119,"Freistehende Seitenwand Duscholux Walk- in Viva, Breite bis 80 cm, Band links, Höhe bis 220 cm, mit Wandwinkel Verchromt Echtglas klar CareTec Pro",Andere,,,,

1519 895.000.000,"Montagepauschale Duscholux für für Freistehende Seitenwand mit Traverse bis Breite 125 cm und Höhe bis 210 cm Nettobetrag",Andere,,,,

1519 896.000.000,"Montagepauschale Duscholux für für Freistehende Seitenwand mit Traverse ab Breite 125,1 cm und Höhe ab 210,1 cm Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1515 094.501.119,"Freistehende Seitenwand Duscholux Walk- in Viva, Breite bis 125 cm, Band rechts, Höhe bis 220 cm, mit Wandwinkel Verchromt Echtglas klar CareTec Pro",Andere,,,,

1519 895.000.000,"Montagepauschale Duscholux für für Freistehende Seitenwand mit Traverse bis Breite 125 cm und Höhe bis 210 cm Nettobetrag",Andere,,,,

1519 896.000.000,"Montagepauschale Duscholux für für Freistehende Seitenwand mit Traverse ab Breite 125,1 cm und Höhe ab 210,1 cm Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1515 092.501.119,"Freistehende Seitenwand Duscholux Walk- in Viva, Breite bis 80 cm, Band rechts, Höhe bis 220 cm, mit Wandwinkel Verchromt Echtglas klar CareTec Pro",Andere,,,,

1519 895.000.000,"Montagepauschale Duscholux für für Freistehende Seitenwand mit Traverse bis Breite 125 cm und Höhe bis 210 cm Nettobetrag",Andere,,,,

1519 896.000.000,"Montagepauschale Duscholux für für Freistehende Seitenwand mit Traverse ab Breite 125,1 cm und Höhe ab 210,1 cm Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1515 095.501.119,"Freistehende Seitenwand Duscholux Walk- in Viva, Breite bis 180 cm, Band links, Höhe bis 220 cm, mit Wandwinkel Verchromt Echtglas klar CareTec Pro",Andere,,,,

1519 895.000.000,"Montagepauschale Duscholux für für Freistehende Seitenwand mit Traverse bis Breite 125 cm und Höhe bis 210 cm Nettobetrag",Andere,,,,

1519 896.000.000,"Montagepauschale Duscholux für für Freistehende Seitenwand mit Traverse ab Breite 125,1 cm und Höhe ab 210,1 cm Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1515 093.501.119,"Freistehende Seitenwand Duscholux Walk- in Viva, Breite bis 125 cm, Band links, Höhe bis 220 cm, mit Wandwinkel Verchromt Echtglas klar CareTec Pro",Andere,,,,

1519 895.000.000,"Montagepauschale Duscholux für für Freistehende Seitenwand mit Traverse bis Breite 125 cm und Höhe bis 210 cm Nettobetrag",Andere,,,,

1519 896.000.000,"Montagepauschale Duscholux für für Freistehende Seitenwand mit Traverse ab Breite 125,1 cm und Höhe ab 210,1 cm Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1515 096.501.119,"Freistehende Seitenwand Duscholux Walk- in Viva, Breite bis 180 cm, Band rechts, Höhe bis 220 cm, mit Wandwinkel Verchromt Echtglas klar CareTec Pro",Andere,,,,

1519 895.000.000,"Montagepauschale Duscholux für für Freistehende Seitenwand mit Traverse bis Breite 125 cm und Höhe bis 210 cm Nettobetrag",Andere,,,,

1519 896.000.000,"Montagepauschale Duscholux für für Freistehende Seitenwand mit Traverse ab Breite 125,1 cm und Höhe ab 210,1 cm Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1514 013.535.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band links, Höhe 200 cm Breite 120 cm, mit Traverse und Wandanschlussprofil mit Dekor Gitter aufgeteilt in 15 Felder für Wannenmontage Schwarz matt Echtglas klar CareTec Pro",Andere,,,,

