ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1311 207.100.000,"Duschenwanne Schmidlin, 90 x 75 x 6,5 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts, Ablaufloch Ø 90 mm Weiss",Andere,90 x 75 x 6.5,,,

1311 006.100.000,"Duschenwanne Schmidlin, 80 x 80 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,80 x 80 x 6.5,,,

1311 259.100.000,"Duschenwanne Schmidlin, 120 x 100 x 6,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,120 x 100 x 6.5,,,

1311 249.100.000,"Duschenwanne Schmidlin, 120 x 75 x 6,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,120 x 75 x 6.5,,,

1311 244.100.000,"Duschenwanne Schmidlin, 100 x 70 x 6,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm, Montagerahmen Schmidlin siehe 1435 122 - 151 / 270 - 277 Weiss",Andere,100 x 70 x 6.5,,,

1311 245.100.000,"Duschenwanne Schmidlin, 100 x 75 x 6,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,100 x 75 x 6.5,,,

1311 205.100.000,"Duschenwanne Schmidlin, 80 x 75 x 6,5 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts, Ablaufloch Ø 90 mm Weiss",Andere,80 x 75 x 6.5,,,

1311 151.100.000,"Duschenwanne Schmidlin, 100 x 100 x 6,5 cm, Stahl, Schallisolierung, Ablaufloch Ø 90 mm Weiss",Andere,100 x 100 x 6.5,,,

1311 206.100.000,"Duschenwanne Schmidlin, 90 x 70 x 6,5 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts, Ablaufloch Ø 90 mm Weiss",Andere,90 x 70 x 6.5,,,

1311 257.100.000,"Duschenwanne Schmidlin, 120 x 80 x 6,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,120 x 80 x 6.5,,,

1311 247.100.000,"Duschenwanne Schmidlin, 110 x 90 x 6,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,110 x 90 x 6.5,,,

1311 272.100.000,"Duschenwanne Schmidlin Ablauf Schmalseite Mitte 130 x 90 x 6.5 cm Ablaufloch Ø 90 mm Schallisolierung, Stahl Weiss",Andere,130 x 90 x 6.5,,,

1311 253.100.000,"Duschenwanne Schmidlin, 120 x 110 x 6,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm, Montagerahmen Schmidlin siehe 1435 152 - 164 / 278 - 281 Weiss",Andere,120 x 110 x 6.5,,,

1311 007.100.000,"Duschenwanne Schmidlin, 90 x 90 x 6,5 cm, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,90 x 90 x 6.5,,,

1311 248.100.000,"Duschenwanne Schmidlin, 120 x 70 x 6,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,120 x 70 x 6.5,,,

1311 255.100.000,"Duschenwanne Schmidlin, 100 x 90 x 6,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,100 x 90 x 6.5,,,

1311 274.100.000,"Duschenwanne Schmidlin Ablauf Schmalseite Mitte 130 x 130 x 6.5 cm Ablaufloch Ø 90 mm Schallisolierung, Stahl Weiss",Andere,130 x 130 x 6.5,,,

1311 271.100.000,"Duschenwanne Schmidlin Ablauf Schmalseite Mitte 130 x 80 x 6.5 cm Ablaufloch Ø 90 mm Schallisolierung, Stahl Weiss",Andere,130 x 80 x 6.5,,,

1311 254.100.000,"Duschenwanne Schmidlin Ablauf Schmalseite Mitte 120 x 120 x 6.5 cm Ablaufloch Ø 90 mm Schallisolierung, Stahl Weiss",Andere,120 x 120 x 6.5,,,

1311 208.100.000,"Duschenwanne Schmidlin, 90 x 80 x 6,5 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts, Ablaufloch Ø 90 mm Weiss",Andere,90 x 80 x 6.5,,,

1311 258.100.000,"Duschenwanne Schmidlin, 120 x 90 x 6,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,120 x 90 x 6.5,,,

1311 256.100.000,"Duschenwanne Schmidlin, 100 x 80 x 6,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,100 x 80 x 6.5,,,

1311 273.100.000,"Duschenwanne Schmidlin Ablauf Schmalseite Mitte 130 x 100 x 6.5 cm Ablaufloch Ø 90 mm Schallisolierung, Stahl Weiss",Andere,130 x 100 x 6.5,,,

1311 246.100.000,"Duschenwanne Schmidlin, 110 x 80 x 6,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,110 x 80 x 6.5,,,

1311 263.100.000,"Duschenwanne Schmidlin, 120 x 90 x 15 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte Weiss",Andere,120 x 90 x 15,,,

1311 267.100.000,"Duschenwanne Schmidlin, 120 x 75 x 15 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte Weiss",Andere,120 x 75 x 15,,,

1311 221.100.000,"Duschenwanne Schmidlin, 90 x 70 x 15 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts Weiss",Andere,90 x 70 x 15,,,

1311 270.100.000,"Duschenwanne Schmidlin, 120 x 100 x 15 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte Weiss",Andere,120 x 100 x 15,,,

1311 261.100.000,"Duschenwanne Schmidlin, 100 x 80 x 15 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte Weiss",Andere,100 x 80 x 15,,,

1311 264.100.000,"Duschenwanne Schmidlin, 100 x 70 x 15 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte Weiss",Andere,100 x 70 x 15,,,

1311 120.100.000,"Duschenwanne Schmidlin, 70 x 70 x 15 cm, Schallisolierung, Stahl Weiss",Andere,70 x 70 x 15,,,

1311 122.100.000,"Duschenwanne Schmidlin, 90 x 90 x 15 cm, Schallisolierung, Stahl Weiss",Andere,90 x 90 x 15,,,

1311 155.100.000,"Duschenwanne Schmidlin, 100 x 100 x 15 cm, Schallisolierung, Stahl, Montagerahmen Schmidlin siehe 1435 128 / 1435 274 Weiss",Andere,100 x 100 x 15,,,

1311 223.100.000,"Duschenwanne Schmidlin, 90 x 80 x 15 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts Weiss",Andere,90 x 80 x 15,,,

1311 266.100.000,"Duschenwanne Schmidlin, 110 x 80 x 15 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte Weiss",Andere,110 x 80 x 15,,,

1311 260.100.000,"Duschenwanne Schmidlin, 100 x 90 x 15 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte Weiss",Andere,100 x 90 x 15,,,

1311 121.100.000,"Duschenwanne Schmidlin, 80 x 80 x 15 cm, Schallisolierung, Stahl Weiss",Andere,80 x 80 x 15,,,

1311 265.100.000,"Duschenwanne Schmidlin, 100 x 75 x 15 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte Weiss",Andere,100 x 75 x 15,,,

1311 222.100.000,"Duschenwanne Schmidlin, 90 x 75 x 15 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts Weiss",Andere,90 x 75 x 15,,,

1311 262.100.000,"Duschenwanne Schmidlin, 120 x 80 x 15 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte Weiss",Andere,120 x 80 x 15,,,

1311 416.100.000,"Duschenwanne Schmidlin, 90 x 75 x 2,5 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts, Ablaufloch Ø 90 mm Weiss",Andere,90 x 75 x 2.5,,,

1311 173.100.000,"Duschenwanne Schmidlin Vario 97 - 105 x 67 - 110 x 2,5 cm Ablaufloch Ø 90 mm Stahl, Schallisolierung (Gem. Konfigurationscode Schmidlin) Weiss",Andere,110 x 2.5,,,

1311 422.100.000,"Duschenwanne Schmidlin, 100 x 80 x 2,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,100 x 80 x 2.5,,,

1311 409.100.000,"Duschenwanne Schmidlin, 100 x 70 x 2,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,100 x 70 x 2.5,,,

1311 408.100.000,"Duschenwanne Schmidlin, 90 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø 90 mm Weiss",Andere,90 x 90 x 2.5,,,

1311 171.100.000,"Duschenwanne Schmidlin Vario 76 - 85 x 66 - 89 x 2,5 cm Ablaufloch Ø 90 mm Stahl, Schallisolierung (Gem. Konfigurationscode Schmidlin) Weiss",Andere,89 x 2.5,,,

1311 415.100.000,"Duschenwanne Schmidlin, 90 x 70 x 2,5 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts, Ablaufloch Ø 90 mm Weiss",Andere,90 x 70 x 2.5,,,

1311 417.100.000,"Duschenwanne Schmidlin, 90 x 80 x 2,5 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts, Ablaufloch Ø 90 mm Weiss",Andere,90 x 80 x 2.5,,,

1311 411.100.000,"Duschenwanne Schmidlin, 100 x 100 x 2,5 cm, Stahl, Schallisolierung, Ablaufloch Ø 90 mm Weiss",Andere,100 x 100 x 2.5,,,

1311 170.100.000,"Duschenwanne Schmidlin Vario 67 - 75 x 67 - 79 x 2,5 cm Ablaufloch Ø 90 mm Stahl, Schallisolierung (Gem. Konfigurationscode Schmidlin) Weiss",Andere,79 x 2.5,,,

1311 424.100.000,"Duschenwanne Schmidlin, 100 x 90 x 2,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,100 x 90 x 2.5,,,

1311 172.100.000,"Duschenwanne Schmidlin Vario 86 - 96 x 56 - 95 x 2,5 cm Ablaufloch Ø 90 mm Stahl, Schallisolierung (Gem. Konfigurationscode Schmidlin) Weiss",Andere,95 x 2.5,,,

1311 421.100.000,"Duschenwanne Schmidlin, 100 x 75 x 2,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,100 x 75 x 2.5,,,

1311 174.100.000,"Duschenwanne Schmidlin Vario 106 - 115 x 67 - 114 x 3,5 cm Ablaufloch Ø 90 mm Stahl, Schallisolierung (Gem. Konfigurationscode Schmidlin) Weiss",Andere,114 x 3.5,,,

1311 407.100.000,"Duschenwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø 90 mm Weiss",Andere,80 x 80 x 3.5,,,

1311 180.100.000,"Duschenwanne Schmidlin Vario 188 - 190 x 77 - 125 x 3,5 cm Ablaufloch Ø 90 mm Stahl, Schallisolierung (Gem. Konfigurationscode Schmidlin) Weiss",Andere,125 x 3.5,,,

1311 470.100.000,"Duschenwanne Schmidlin, 160 x 100 x 3,5 cm, Stahl, Schallisolierung, Ablauf Längsseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,160 x 100 x 3.5,,,

1311 480.100.000,"Duschenwanne Schmidlin, 130 x 75 x 3,5 cm, Schallisolierung, Stahl, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,130 x 75 x 3.5,,,

1311 444.100.000,"Duschenwanne Schmidlin, 120 x 75 x 3,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,120 x 75 x 3.5,,,

1311 461.100.000,"Duschenwanne Schmidlin, 150 x 75 x 3,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,150 x 75 x 3.5,,,

1311 454.100.000,"Duschenwanne Schmidlin, 130 x 100 x 3,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,130 x 100 x 3.5,,,

1311 473.100.000,"Duschenwanne Schmidlin, 170 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablauf Längsseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,170 x 80 x 3.5,,,

1311 457.100.000,"Duschenwanne Schmidlin, 140 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,140 x 80 x 3.5,,,

1311 456.100.000,"Duschenwanne Schmidlin, 140 x 75 x 3,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,140 x 75 x 3.5,,,

1311 412.100.000,"Duschenwanne Schmidlin, 120 x 70 x 3,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,120 x 70 x 3.5,,,

1311 467.100.000,"Duschenwanne Schmidlin, 160 x 75 x 3,5 cm, Stahl, Schallisolierung, Ablauf Längsseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,160 x 75 x 3.5,,,

1311 453.100.000,"Duschenwanne Schmidlin, 130 x 90 x 3,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,130 x 90 x 3.5,,,

1311 449.100.000,"Duschenwanne Schmidlin, 120 x 100 x 3,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,120 x 100 x 3.5,,,

1311 024.100.000,"Duschenwanne Schmidlin Vario 191 - 207 x 86 - 97 x 3,5 cm Ablaufloch Ø 90 mm Stahl, Schallisolierung (Gem. Konfigurationscode Schmidlin) Weiss",Andere,97 x 3.5,,,

1311 446.100.000,"Duschenwanne Schmidlin, 110 x 90 x 3,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,110 x 90 x 3.5,,,

1311 179.100.000,"Duschenwanne Schmidlin Vario 176 - 187 x 67 - 125 x 3,5 cm Ablaufloch Ø 90 mm Stahl, Schallisolierung (Gem. Konfigurationscode Schmidlin) Weiss",Andere,125 x 3.5,,,

1311 478.100.000,"Duschenwanne Schmidlin, 180 x 100 x 3,5 cm, Stahl, Schallisolierung, Ablauf Längsseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,180 x 100 x 3.5,,,

1311 445.100.000,"Duschenwanne Schmidlin, 120 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,120 x 80 x 3.5,,,

1311 463.100.000,"Duschenwanne Schmidlin, 150 x 90 x 3,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,150 x 90 x 3.5,,,

1311 455.100.000,"Duschenwanne Schmidlin, 130 x 130 x 3,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,130 x 130 x 3.5,,,

1311 410.100.000,"Duschenwanne Schmidlin, 110 x 100 x 3,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,110 x 100 x 3.5,,,

1311 176.100.000,"Duschenwanne Schmidlin Vario 130 - 135 x 67 - 124 x 3,5 cm Ablaufloch Ø 90 mm Stahl, Schallisolierung (Gem. Konfigurationscode Schmidlin) Weiss",Andere,124 x 3.5,,,

1311 468.100.000,"Duschenwanne Schmidlin, 160 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablauf Längsseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,160 x 80 x 3.5,,,

1311 476.100.000,"Duschenwanne Schmidlin, 180 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablauf Längsseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,180 x 80 x 3.5,,,

1311 178.100.000,"Duschenwanne Schmidlin Vario 156 - 175 x 67 - 125 x 3,5 cm Ablaufloch Ø 90 mm Stahl, Schallisolierung (Gem. Konfigurationscode Schmidlin) Weiss",Andere,125 x 3.5,,,

1311 177.100.000,"Duschenwanne Schmidlin Vario 136 - 155 x 67 - 125 x 3,5 cm Ablaufloch Ø 90 mm Stahl, Schallisolierung (Gem. Konfigurationscode Schmidlin) Weiss",Andere,125 x 3.5,,,

1311 459.100.000,"Duschenwanne Schmidlin, 140 x 100 x 3,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,140 x 100 x 3.5,,,

1311 452.100.000,"Duschenwanne Schmidlin, 130 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablauf Schmalseite Mitte, Ablaufloch Ø 90 mm Weiss",Andere,130 x 80 x 3.5,,,

