Position,Quantity,ArticleNumber,Description,Currency,UnitPrice,TotalPrice
10,1.0,1311 207.100.000,"""ST Duschenwanne Schmidlin, 90 x"" ""75 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablauf"" ""Längsseite vorne rechts,"" Ablaufloch Ø 90 mm Weiss",URP,714.00,714.00
20,1.0,1311 006.100.000,"""ST Duschenwanne Schmidlin, 80 x"" ""80 x 6,5 cm, Schallisolierung,"" ""Stahl, Ablaufloch Ø 90 mm"" Weiss 30 1.0 1311 259.100.000 URP 1'100.00 1'100.00 ""ST Duschenwanne Schmidlin, 120 x"" ""100 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablauf"" ""Schmalseite Mitte, Ablaufloch"" Ø 90 mm Weiss 40 1.0 1311 249.100.000 URP 1'097.00 1'097.00 ""ST Duschenwanne Schmidlin, 120 x"" ""75 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablauf"" ""Schmalseite Mitte, Ablaufloch"" Ø 90 mm Weiss 50 1.0 1311 244.100.000 URP 1'030.00 1'030.00 ""ST Duschenwanne Schmidlin, 100 x"" ""70 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablauf"" ""Schmalseite Mitte, Ablaufloch"" ""Ø 90 mm, Montagerahmen"" Schmidlin siehe 1435 122 - 151 / 270 - 277 Weiss",URP,643.00,643.00
60,1.0,1311 245.100.000,"""ST Duschenwanne Schmidlin, 100 x"" ""75 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablauf"" ""Schmalseite Mitte, Ablaufloch"" Ø 90 mm Weiss 22.05.2026/00:02:27 https://profishop.sanitastroesch.ch",URP,963.00,963.00
70,1.0,1311 205.100.000,"""ST Duschenwanne Schmidlin, 80 x"" ""75 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablauf"" ""Längsseite vorne rechts,"" Ablaufloch Ø 90 mm Weiss 80 1.0 1311 151.100.000 URP 1'006.00 1'006.00 ""ST Duschenwanne Schmidlin, 100 x"" ""100 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablaufloch Ø"" 90 mm Weiss",URP,709.00,709.00
90,1.0,1311 206.100.000,"""ST Duschenwanne Schmidlin, 90 x"" ""70 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablauf"" ""Längsseite vorne rechts,"" Ablaufloch Ø 90 mm Weiss 100 1.0 1311 257.100.000 URP 1'097.00 1'097.00 ""ST Duschenwanne Schmidlin, 120 x"" ""80 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablauf"" ""Schmalseite Mitte, Ablaufloch"" Ø 90 mm Weiss 110 1.0 1311 247.100.000 URP 1'061.00 1'061.00 ""ST Duschenwanne Schmidlin, 110 x"" ""90 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablauf"" ""Schmalseite Mitte, Ablaufloch"" Ø 90 mm Weiss 120 1.0 1311 272.100.000 URP 1'265.00 1'265.00 Duschenwanne Schmidlin Ablauf Schmalseite Mitte 130 x 90 x 6.5 cm Ablaufloch Ø 90 mm ""Schallisolierung, Stahl"" Weiss 22.05.2026/00:02:27 https://profishop.sanitastroesch.ch 130 1.0 1311 253.100.000 URP 1'277.00 1'277.00 ""ST Duschenwanne Schmidlin, 120 x"" ""110 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablauf"" ""Schmalseite Mitte, Ablaufloch"" ""Ø 90 mm, Montagerahmen"" Schmidlin siehe 1435 152 - 164 / 278 - 281 Weiss",URP,741.00,741.00
140,1.0,1311 007.100.000,"""ST Duschenwanne Schmidlin, 90 x"" ""90 x 6,5 cm, Schallisolierung,"" ""Stahl, Ablaufloch Ø 90 mm"" Weiss 150 1.0 1311 248.100.000 URP 1'104.00 1'104.00 ""ST Duschenwanne Schmidlin, 120 x"" ""70 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablauf"" ""Schmalseite Mitte, Ablaufloch"" Ø 90 mm Weiss",URP,683.00,683.00
160,1.0,1311 255.100.000,"""ST Duschenwanne Schmidlin, 100 x"" ""90 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablauf"" ""Schmalseite Mitte, Ablaufloch"" Ø 90 mm Weiss 170 1.0 1311 274.100.000 URP 1'638.00 1'638.00 Duschenwanne Schmidlin Ablauf Schmalseite Mitte 130 x 130 x 6.5 cm Ablaufloch Ø 90 mm ""Schallisolierung, Stahl"" Weiss 180 1.0 1311 271.100.000 URP 1'265.00 1'265.00 Duschenwanne Schmidlin Ablauf Schmalseite Mitte 130 x 80 x 6.5 cm Ablaufloch Ø 90 mm ""Schallisolierung, Stahl"" Weiss 22.05.2026/00:02:27 https://profishop.sanitastroesch.ch 190 1.0 1311 254.100.000 URP 1'192.00 1'192.00 Duschenwanne Schmidlin Ablauf Schmalseite Mitte 120 x 120 x 6.5 cm Ablaufloch Ø 90 mm ""Schallisolierung, Stahl"" Weiss",URP,963.00,963.00
200,1.0,1311 208.100.000,"""ST Duschenwanne Schmidlin, 90 x"" ""80 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablauf"" ""Längsseite vorne rechts,"" Ablaufloch Ø 90 mm Weiss 210 1.0 1311 258.100.000 URP 1'142.00 1'142.00 ""ST Duschenwanne Schmidlin, 120 x"" ""90 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablauf"" ""Schmalseite Mitte, Ablaufloch"" Ø 90 mm Weiss",URP,787.00,787.00
220,1.0,1311 256.100.000,"""ST Duschenwanne Schmidlin, 100 x"" ""80 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablauf"" ""Schmalseite Mitte, Ablaufloch"" Ø 90 mm Weiss 230 1.0 1311 273.100.000 URP 1'265.00 1'265.00 Duschenwanne Schmidlin Ablauf Schmalseite Mitte 130 x 100 x 6.5 cm Ablaufloch Ø 90 mm ""Schallisolierung, Stahl"" Weiss 240 1.0 1311 246.100.000 URP 1'127.00 1'127.00 ""ST Duschenwanne Schmidlin, 110 x"" ""80 x 6,5 cm, Stahl,"" ""Schallisolierung, Ablauf"" ""Schmalseite Mitte, Ablaufloch"" Ø 90 mm Weiss 22.05.2026/00:02:27 https://profishop.sanitastroesch.ch 250 1.0 1311 263.100.000 URP 1'070.00 1'070.00 ""ST Duschenwanne Schmidlin, 120 x"" ""90 x 15 cm, Stahl,"" ""Schallisolierung, Ablauf"" Schmalseite Mitte Weiss 260 1.0 1311 267.100.000 URP 1'019.00 1'019.00 ""ST Duschenwanne Schmidlin, 120 x"" ""75 x 15 cm, Stahl,"" ""Schallisolierung, Ablauf"" Schmalseite Mitte Weiss",URP,963.00,963.00
270,1.0,1311 221.100.000,"""ST Duschenwanne Schmidlin, 90 x"" ""70 x 15 cm, Stahl,"" ""Schallisolierung, Ablauf"" Längsseite vorne rechts Weiss 280 1.0 1311 270.100.000 URP 1'106.00 1'106.00 ""ST Duschenwanne Schmidlin, 120 x"" ""100 x 15 cm, Stahl,"" ""Schallisolierung, Ablauf"" Schmalseite Mitte Weiss",URP,539.00,539.00
