Gruppe;;;;;;;Installationselement;Installationselement;Installationselement;Installationselement;Installationselement;Installationselement;Immer dabei;Immer dabei;Immer dabei;Wasseranschluss;Wasseranschluss;Rohbau-Set;Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Befestigung;Befestigung;Befestigung;Befestigung;Trennwand;Trennwand;Trennwand;Trennwand;Weiteres;Weiteres;Weiteres;Weiteres;Weiteres;Weiteres;Weiteres
Art-Nr;;;;;;;3612 402;3612 403;3612 404;3612 405;3612 406;3612 407;3461 110;3612 272;3612 500;3612 419;3612 420;3451 173;3451 100;3451 103;3451 106;3451 109;3451 114;3451 148;3451 158;3451 168;3451 174;3431 102;3431 110;3431 250;3441 111;3441 112;3441 120;3441 150;8111 412;8111 428;3962 155;3962 156;8211 112;8211 210;2112 890;3482 117;3482 118;3482 119;2112 889;2121 198;2141 298;2147 198;2317 387;3421 149;3421 163
Bezeichnung;;;;;;;Urinoirelement Geberit-Duofix Typ 144, Höhe 144 cm, Breite 50 cm, Rohbauset;Urinoirelement Geberit-Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50;Urinoirelement Geberit-Duofix, Montagerahmen, Füsse verstellbar;Urinoirelement Geberit-Duofix, Montagerahmen, Füsse verstellbar;Urinoirelement Geberit-Duofix, Montagerahmen, Füsse verstellbar;Urinoirelement Geberit-Duofix, Montagerahmen, Füsse verstellbar;Schallschutz Iso-Set Hafner Urinoir, 4 Gummihülsen, 2 U-Scheiben, 2;Anschlussbogen Geberit-Silent, für Waschtisch-, Bidet- und Urinoirelement;Rückwandbefestigungssatz Geberit Duofix, für alle Elemente;Zubehörset Geberit Duofix, für Urinal Lema 1 Liter, UP-Verteildose;Quertraverse Geberit Duofix für Zulauf ½, mit Anschlussbogen, zu;Rohbau-Set Geberit für Urinal-Spülauslösungen, für Urinoir;Urinoirsteuerung Geberit HyTronic IR Typ01 round, easy-to-clean;Urinoirsteuerung Geberit HyTronic IR Typ01 round, easy-to-clean, Batterie;Urinoirsteuerung Geberit HyTronic IR Typ01 square, Abdeckplatte;Urinoirsteuerung Geberit HyTronic IR Typ01 square, Batterie 1,5 V Lithium;Urinoirsteuerung Geberit HyTouch Typ01 square, Betätigungsplatte;Urinoirsteuerung Geberit HyTronic IR Typ01 round, Abdeckplatte;Urinoirsteuerung Geberit HyTronic IR Typ01 round, Batterie 1,5 V Lithium;Urinoirsteuerung Geberit HyTouch Typ01 round, Betätigungsplatte;Urinoirsteuerung Geberit HyTouch Typ01 round, easy-to-clean;"Einlaufgarnitur Laufen, Einlaufmanschette ½"", zu Urinoir 3421";"Einlaufgarnitur Geberit, 1"" x 35 mm, Messing, Deckkappe, zu Urinoir";Einlaufmanschette Geberit, Ø 32-35 mm, zu Urinoirs Casa / Fizz / Lema /;Absaugesiphon Geberit, AP, Abgang waagrecht Ø 40 mm;Absaugesiphon Geberit, AP, Konduktivsonden, Abgang waagrecht Ø 40;;Absaugesiphon Geberit AP, waagrecht Ø 40 mm, zu Urinoir;;Steckdichtung, Ø 51 / 40 mm;Gewindebolzen-Set M8 / M12 zu Duofix Lema (H8940620000001);Gewindebolzen Umbauset M12 (H8928140000001);;Abdeckkappe, Klemmscheiben, Set à 2 Stück, Weiss;;Trennwand Geberit, Glas weiss, 75 x 43 cm, Befestigungsmaterial;Trennwand Geberit, Glas anthrazit, 75 x 43 cm, Befestigungsmaterial;Trennwand Geberit, Glas umbra, 75 x 43 cm, Befestigungsmaterial;;;Einlaufmanschette, zu Urinoir Duravit;;;Urinoirdeckel Laufen Vila 2.0, abnehmbar, mit Absenkautomatik;Urinoirdeckel Fizz, Kunststoff, Scharniere Chrom, Absenkautomatik
URP CHF;;;;;;;634.00;634.00;701.00;701.00;492.00;634.00;27.50;36.00;42.50;162.00;165.00;291.00;1225.00;1225.00;1225.00;1225.00;350.00;1225.00;1225.00;346.00;346.00;106.00;158.00;21.00;81.50;90.50;;76.50;;4.80;41.50;27.00;;14.50;;976.00;976.00;976.00;;;33.00;;;139.00;261.00
Anzahl Urinoirs;;;;;;;2;17;10;2;14;3;41;48;48;6;9;3;22;22;22;22;22;22;22;22;22;1;1;14;4;1;4;15;2;3;3;16;1;2;27;27;27;27;6;1;3;1;2;3;1
Serie;Art-Nr;Urinoir;Ausführung;GTIN;URP CHF;Installationselement;3612 402;3612 403;3612 404;3612 405;3612 406;3612 407;3461 110;3612 272;3612 500;3612 419;3612 420;3451 173;3451 100;3451 103;3451 106;3451 109;3451 114;3451 148;3451 158;3451 168;3451 174;3431 102;3431 110;3431 250;3441 111;3441 112;3441 120;3441 150;8111 412;8111 428;3962 155;3962 156;8211 112;8211 210;2112 890;3482 117;3482 118;3482 119;2112 889;2121 198;2141 298;2147 198;2317 387;3421 149;3421 163
Alessi One;2121 197;Urinal Alessi One;cleanplus, ohne Zielobjekt;4014804707429;;3612 403;;X;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;X;;;X;X;;;;;;X;;;;;;;;;X;;;;;
Caprino Plus;3411 131;Absauge-Urinal Caprino Plus;cleanplus, ohne Zielobjekt;7612738978723;1374.00;3612 406;;;;;X;;X;X;X;;X;;;;;;;;;;;;;;;;;;;;;X;;;X;X;X;X;;;;;;;
Caprino Plus;3411 133;Absauge-Urinal Caprino Plus;cleanplus, ohne Zielobjekt;7612738976811;1374.00;3612 406;;;;;X;;X;X;X;;X;;;;;;;;;;;;;;;;;;;;;X;;;X;X;X;X;;;;;;;
Caprino Plus;3411 134;Absauge-Urinal Caprino Plus;cleanplus, ohne Zielobjekt;7612738964276;333.00;3612 403;;X;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;X;;;X;;;;X;;;;X;;;X;X;X;X;;;;;;;
Caprino Plus;3411 131;Absauge-Urinal Caprino Plus;standard, ohne Zielobjekt;7612738978716;1374.00;3612 406;;;;;X;;X;X;X;;X;;;;;;;;;;;;;;;;;;;;;X;;;X;X;X;X;;;;;;;
