Typ,Artikelnummer,Menge,Bezeichnung
,3161 127.501.000,1.0,"Ablaufventil ClickClack, push-open 1¼"", für Waschtische Keramik mit Überlauf,"
,6000 017.000.000,1.0,"Einbaukosten, Ablaufventil einzeln, Wipp- und Siebventil, Nettopreis"
,,,
,3161 121.501.000,1.0,"Schaftventil 1¼"", für Glas- und Keramikwaschtische ohne Überlauf,"
,6000 017.000.000,1.0,"Einbaukosten, Ablaufventil einzeln, Wipp- und Siebventil, Nettopreis"
,,,
,3161 111.501.000,1.0,"Siebventil 1¼"", Überlauf, Verchromt"
,6000 017.000.000,1.0,"Einbaukosten, Ablaufventil einzeln, Wipp- und Siebventil, Nettopreis"
,,,
,3161 113.501.000,1.0,"Siebventil 1¼"", ohne Überlauf, Verchromt"
,6000 017.000.000,1.0,"Einbaukosten, Ablaufventil einzeln, Wipp- und Siebventil, Nettopreis"
