Typ,Artikelnummer,Menge,Bezeichnung
,6211 304.501.000,1.0,"Bademischer Alterna più-Standmodell, A 248 mm, Höhe 859 mm, Brauseschlauch"
,6252 811.000.000,1.0,"Einbaukörper Gessi ½"", für Bodeneinbau, zu Bademischer Standmodell, Einbautiefe"
,,,
,6211 301.501.000,1.0,"Bademischer Alterna più, AD 153 mm, ohne Abstellverschraubungen ½"" x ¾"","
,6521 109.501.000,2.0,"Abstellverschraubung, ½"" x ¾"", mit flacher Rosette, Verchromt"
,6542 316.501.000,1.0,"Brauseschlauch Alterna flexline, 1250 mm, ½""x½"", Kunststoff mit Metalleffekt,"
OR,6542 318.501.000,1.0,"Brauseschlauch Alterna flexline, 1800 mm, ½""x½"", Kunststoff mit Metalleffekt,"
,6541 326.501.000,1.0,"Handbrause Alterna easyline, Ø 101 mm, 1-jet, SoftRain, Einlage des"
,6543 132.501.000,1.0,"Brausehalter Alterna, Rosette rund, Verchromt"
OR,6531 403.501.000,1.0,"Duschgleitstange Alterna fit, 610 mm, Gelenkhalter, Arretierungshebel,"
OR,6531 404.501.000,1.0,"Duschgleitstange Alterna fit, 1100 mm, Gelenkhalter, Arretierungshebel,"
,,,
,6211 501.501.000,1.0,"Bademischer Alterna architect S, AD 153 mm, ohne Abstellverschraubungen ½"" x"
,6521 109.501.000,2.0,"Abstellverschraubung, ½"" x ¾"", mit flacher Rosette, Verchromt"
,6542 316.501.000,1.0,"Brauseschlauch Alterna flexline, 1250 mm, ½""x½"", Kunststoff mit Metalleffekt,"
OR,6542 318.501.000,1.0,"Brauseschlauch Alterna flexline, 1800 mm, ½""x½"", Kunststoff mit Metalleffekt,"
,6541 326.501.000,1.0,"Handbrause Alterna easyline, Ø 101 mm, 1-jet, SoftRain, Einlage des"
,6543 132.501.000,1.0,"Brausehalter Alterna, Rosette rund, Verchromt"
OR,6531 403.501.000,1.0,"Duschgleitstange Alterna fit, 610 mm, Gelenkhalter, Arretierungshebel,"
OR,6531 404.501.000,1.0,"Duschgleitstange Alterna fit, 1100 mm, Gelenkhalter, Arretierungshebel,"
,,,
,6211 601.501.000,1.0,"Bademischer Alterna niù, AD 153 mm, ohne Abstellverschraubungen ½"" x ¾"","
ALT,6211 601.535.000,1.0,"Bademischer Alterna niù, AD 153 mm, ohne Abstellverschraubungen ½"" x ¾"","
ALT,6211 601.149.000,1.0,"Bademischer Alterna niù, AD 153 mm, ohne Abstellverschraubungen ½"" x ¾"","
,6521 109.501.000,2.0,"Abstellverschraubung, ½"" x ¾"", mit flacher Rosette, Verchromt"
,6542 316.501.000,1.0,"Brauseschlauch Alterna flexline, 1250 mm, ½""x½"", Kunststoff mit Metalleffekt,"
OR,6542 318.501.000,1.0,"Brauseschlauch Alterna flexline, 1800 mm, ½""x½"", Kunststoff mit Metalleffekt,"
,6541 326.501.000,1.0,"Handbrause Alterna easyline, Ø 101 mm, 1-jet, SoftRain, Einlage des"
,6543 132.501.000,1.0,"Brausehalter Alterna, Rosette rund, Verchromt"
OR,6531 403.501.000,1.0,"Duschgleitstange Alterna fit, 610 mm, Gelenkhalter, Arretierungshebel,"
OR,6531 404.501.000,1.0,"Duschgleitstange Alterna fit, 1100 mm, Gelenkhalter, Arretierungshebel,"
,,,
,6211 604.501.000,1.0,"Bademischer Alterna niù-Standmodell, A 248 mm, Höhe 876 - 956 mm,"
ALT,6211 604.535.000,1.0,"Bademischer Alterna niù-Standmodell, A 248 mm, Höhe 876 - 956 mm,"
ALT,6211 604.149.000,1.0,"Bademischer Alterna niù-Standmodell, A 248 mm, Höhe 876 - 956 mm,"
,6252 811.000.000,1.0,"Einbaukörper Gessi ½"", für Bodeneinbau, zu Bademischer Standmodell, Einbautiefe"
,,,
,6211 401.501.000,1.0,"Bademischer Alterna architect, AD 153 mm, ohne Abstellverschraubungen ½"" x"
,6521 109.501.000,2.0,"Abstellverschraubung, ½"" x ¾"", mit flacher Rosette, Verchromt"
,6542 316.501.000,1.0,"Brauseschlauch Alterna flexline, 1250 mm, ½""x½"", Kunststoff mit Metalleffekt,"
OR,6542 318.501.000,1.0,"Brauseschlauch Alterna flexline, 1800 mm, ½""x½"", Kunststoff mit Metalleffekt,"
,6541 326.501.000,1.0,"Handbrause Alterna easyline, Ø 101 mm, 1-jet, SoftRain, Einlage des"
