Typ,Artikelnummer,Menge,Bezeichnung
,6322 223.501.000,1.0,"Bademischer Laufen Meda, AD 153 mm, ohne Abstellverschraubungen ½"" x ¾"","
,,,
,6321 574.501.000,1.0,"Bademischer Laufen Cityplus, AD 153 mm, ohne Abstellverschraubungen ½"" x ¾"","
,,,
,6152 802.501.000,1.0,"Bademischer Laufen Citypro, AD 153 mm, ohne Abstellverschraubungen ½"" x ¾"","
,,,
,6171 100.501.000,1.0,"Bademischer Laufen Kartell, AD 153 mm, Abstellverschraubungen ½"" x ¾"","
,,,
,6152 812.501.000,1.0,"Bademischer Laufen Citypro ½"", Thermostat, AD 153 mm, ohne"
,,,
,6152 815.501.000,1.0,"Bademischer-Endmontageset Laufen Citypro, mit Sicherheitseinrichtung,"
,,,
,6323 912.501.000,1.0,"Bademischer-Endmontageset Laufen Quadriga, mit Sicherheitseinrichtung,"
,,,
,6322 214.501.000,1.0,"Bademischer-Endmontageset Laufen Class, mit Sicherheitseinrichtung,"
,,,
,6323 114.501.000,1.0,"Bademischer-Endmontageset Laufen Twin, mit Sicherheitseinrichtung,"
,,,
,6322 244.501.000,1.0,"Bademischer-Endmontageset Laufen Meda, mit Sicherheitseinrichtung, Thermostat,"
,,,
,6322 225.501.000,1.0,"Bademischer-Endmontageset Laufen Meda, mit Sicherheitseinrichtung,"
,,,
,6321 579.501.000,1.0,"Bademischer-Endmontageset Laufen Cityplus, mit Sicherheitseinrichtung,"
,,,
,6322 163.501.000,1.0,"Bademischer-Endmontageset Laufen Lua, mit Sicherheitseinrichtung,"
,,,
,6152 153.501.000,1.0,"Bademischer-Endmontageset Laufen Swisstap, mit Sicherheitseinrichtung,"
,,,
,6323 745.501.000,1.0,"Bademischer-Endmontageset Laufen Twinplus Slim, mit"
,,,
,6152 215.501.000,1.0,"Bademischer-Endmontageset Laufen The New Classic, mit"
,,,
,6321 912.501.000,1.0,"Bademischer-Endmontageset Laufen Pure, mit Sicherhaitseinrichtung,"
,,,
,6321 514.501.000,1.0,"Bademischer-Endmontageset Laufen Citytherm ½"", mit"
,,,
,6171 115.501.000,1.0,"Bademischer-Endmontageset Laufen Kartell ½"", mit Sicherheitseinrichtung,"
,,,
,6323 112.501.000,1.0,"Bademischer-Endmontageset Laufen Twintherm ½"", mit"
