Typ,Artikelnummer,Menge,Bezeichnung
,6211 621.501.000,1.0,"Duschmischer Alterna niù, AD 153 mm, ohne Abstellverschraubungen ½"" x ½"","
ALT,6211 621.535.000,1.0,"Duschmischer Alterna niù, AD 153 mm, ohne Abstellverschraubungen ½"" x ½"","
ALT,6211 621.149.000,1.0,"Duschmischer Alterna niù, AD 153 mm, ohne Abstellverschraubungen ½"" x ½"","
,6521 108.501.000,2.0,"Abstellverschraubung, ½"" x ½"", mit flacher Rosette, Verchromt"
,6542 317.501.000,1.0,"Brauseschlauch Alterna flexline, 1600 mm, ½""x½"", Kunststoff mit Metalleffekt,"
,6541 326.501.000,1.0,"Handbrause Alterna easyline, Ø 101 mm, 1-jet, SoftRain, Einlage des"
,6531 403.501.000,1.0,"Duschgleitstange Alterna fit, 610 mm, Gelenkhalter, Arretierungshebel,"
OR,6531 404.501.000,1.0,"Duschgleitstange Alterna fit, 1100 mm, Gelenkhalter, Arretierungshebel,"
,,,
,6211 256.501.000,1.0,"Duschmischer Alterna primo, AD 153 mm, ohne Abstellverschraubungen ½"" x ½"","
,6521 108.501.000,2.0,"Abstellverschraubung, ½"" x ½"", mit flacher Rosette, Verchromt"
,6542 317.501.000,1.0,"Brauseschlauch Alterna flexline, 1600 mm, ½""x½"", Kunststoff mit Metalleffekt,"
,6541 324.501.000,1.0,"Handbrause Alterna smartline, Ø 93 mm, 1-jet, SoftRain, Einlage des"
,6531 403.501.000,1.0,"Duschgleitstange Alterna fit, 610 mm, Gelenkhalter, Arretierungshebel,"
OR,6531 404.501.000,1.0,"Duschgleitstange Alterna fit, 1100 mm, Gelenkhalter, Arretierungshebel,"
,,,
,6211 421.501.000,1.0,"Duschmischer Alterna architect, AD 153 mm, ohne Abstellverschraubungen ½"" x"
,6521 108.501.000,2.0,"Abstellverschraubung, ½"" x ½"", mit flacher Rosette, Verchromt"
,6542 317.501.000,1.0,"Brauseschlauch Alterna flexline, 1600 mm, ½""x½"", Kunststoff mit Metalleffekt,"
,6541 326.501.000,1.0,"Handbrause Alterna easyline, Ø 101 mm, 1-jet, SoftRain, Einlage des"
,6531 403.501.000,1.0,"Duschgleitstange Alterna fit, 610 mm, Gelenkhalter, Arretierungshebel,"
OR,6531 404.501.000,1.0,"Duschgleitstange Alterna fit, 1100 mm, Gelenkhalter, Arretierungshebel,"
,,,
,6211 321.501.000,1.0,"Duschmischer Alterna più, AD 153 mm, ohne Abstellverschraubungen ½"" x ½"","
,6521 108.501.000,2.0,"Abstellverschraubung, ½"" x ½"", mit flacher Rosette, Verchromt"
,6542 317.501.000,1.0,"Brauseschlauch Alterna flexline, 1600 mm, ½""x½"", Kunststoff mit Metalleffekt,"
,6541 326.501.000,1.0,"Handbrause Alterna easyline, Ø 101 mm, 1-jet, SoftRain, Einlage des"
,6531 403.501.000,1.0,"Duschgleitstange Alterna fit, 610 mm, Gelenkhalter, Arretierungshebel,"
OR,6531 404.501.000,1.0,"Duschgleitstange Alterna fit, 1100 mm, Gelenkhalter, Arretierungshebel,"
,,,
,6211 521.501.000,1.0,"Duschmischer Alterna architect S, AD 153 mm, ohne Abstellverschraubungen ½"""
,6521 108.501.000,2.0,"Abstellverschraubung, ½"" x ½"", mit flacher Rosette, Verchromt"
,6542 317.501.000,1.0,"Brauseschlauch Alterna flexline, 1600 mm, ½""x½"", Kunststoff mit Metalleffekt,"
,6541 326.501.000,1.0,"Handbrause Alterna easyline, Ø 101 mm, 1-jet, SoftRain, Einlage des"
,6531 403.501.000,1.0,"Duschgleitstange Alterna fit, 610 mm, Gelenkhalter, Arretierungshebel,"
OR,6531 404.501.000,1.0,"Duschgleitstange Alterna fit, 1100 mm, Gelenkhalter, Arretierungshebel,"
,,,
,6211 222.501.000,1.0,"Duschmischer Alterna smart, AD 153 mm, ohne Abstellverschraubungen ½"" x ½"","
,6521 108.501.000,2.0,"Abstellverschraubung, ½"" x ½"", mit flacher Rosette, Verchromt"
,6542 317.501.000,1.0,"Brauseschlauch Alterna flexline, 1600 mm, ½""x½"", Kunststoff mit Metalleffekt,"
,6541 324.501.000,1.0,"Handbrause Alterna smartline, Ø 93 mm, 1-jet, SoftRain, Einlage des"
,6531 403.501.000,1.0,"Duschgleitstange Alterna fit, 610 mm, Gelenkhalter, Arretierungshebel,"
OR,6531 404.501.000,1.0,"Duschgleitstange Alterna fit, 1100 mm, Gelenkhalter, Arretierungshebel,"
,,,
,6211 516.501.000,1.0,"Duschmischer-Endmontageset Alterna architect S, Abdeckplatte rund,"
,6158 110.000.000,1.0,"Einbaukörper Laufen Simibox Light ½"", mit Vorabstellung, Mischer,"
,6158 120.000.000,1.0,"Montageset Laufen Simibox, 2 Montageschienen 560 mm,"
,6544 100.501.000,1.0,"Anschlussbogen Alterna ½"", Rosette rund, für Handbrause, Verchromt"
OR,6544 102.501.000,1.0,"Anschlussbogen Alterna ½"", mit integriertem Brausehalter, Rosette"
,6542 317.501.000,1.0,"Brauseschlauch Alterna flexline, 1600 mm, ½""x½"", Kunststoff mit Metalleffekt,"
OR,6542 318.501.000,1.0,"Brauseschlauch Alterna flexline, 1800 mm, ½""x½"", Kunststoff mit Metalleffekt,"
,6541 326.501.000,1.0,"Handbrause Alterna easyline, Ø 101 mm, 1-jet, SoftRain, Einlage des"
,6531 403.501.000,1.0,"Duschgleitstange Alterna fit, 610 mm, Gelenkhalter, Arretierungshebel,"
OR,6531 404.501.000,1.0,"Duschgleitstange Alterna fit, 1100 mm, Gelenkhalter, Arretierungshebel,"
,,,
,6211 616.501.000,1.0,"Duschmischer-Endmontageset Alterna niù, Abdeckplatte Ø 170 mm,"
ALT,6211 616.535.000,1.0,"Duschmischer-Endmontageset Alterna niù, Abdeckplatte Ø 170 mm,"
