Typ,Artikelnummer,Menge,Bezeichnung
,6211 241.501.000,1.0,"Einlochmischer Alterna smart, Ablaufventil, Auslauf fest, A 105 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6211 458.501.000,1.0,"Einlochmischer Alterna architect, Auslauf fest, A 190 mm, Höhe Mischdüse"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6211 361.501.000,1.0,"Einlochmischer Alterna più, Ablaufventil, Auslauf fest, A 100 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6211 663.501.000,1.0,"Einlochmischer Alterna niù, Ablaufventil, Auslauf fest, A 130 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6211 260.501.000,1.0,"Einlochmischer Alterna primo, ohne Ablaufventil, Auslauf fest, A 107 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6211 262.501.000,1.0,"Einlochmischer Alterna primo, Ablaufventil, Auslauf fest, A 125 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6211 543.501.000,1.0,"Einlochmischer Alterna architect S, Ablaufventil, Auslauf fest, A 140 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6211 652.501.000,1.0,"Einlochmischer Alterna niù, Auslauf fest, A 187 mm, Höhe Mischdüse 176 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6211 451.501.000,1.0,"Einlochmischer Alterna architect, Ablaufventil, Schwenkauslauf, A 150 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6211 551.501.000,1.0,"Einlochmischer Alterna architect S, Ablaufventil, Schwenkauslauf, A 150 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6211 369.501.000,1.0,"Einlochmischer Alterna più, Auslauf fest, A 212 mm, Höhe Mischdüse 173 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6211 661.501.000,1.0,"Einlochmischer Alterna niù, Ablaufventil, Auslauf fest, A 100 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6211 441.501.000,1.0,"Einlochmischer Alterna architect, Ablaufventil, Auslauf fest, A 110 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6211 452.501.000,1.0,"Einlochmischer Alterna architect, ohne Ablaufventil, Schwenkauslauf, A 150 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6211 444.501.000,1.0,"Einlochmischer Alterna architect, ohne Ablaufventil, Auslauf fest, A 140 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6211 365.501.000,1.0,"Einlochmischer Alterna più, Ablaufventil, Schwenkauslauf, A 150 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6211 662.501.000,1.0,"Einlochmischer Alterna niù, ohne Ablaufventil, Auslauf fest, A 100 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6211 541.501.000,1.0,"Einlochmischer Alterna architect S, Ablaufventil, Auslauf fest, A 110 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6211 664.501.000,1.0,"Einlochmischer Alterna niù, ohne Ablaufventil, Auslauf fest, A 130 mm"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6211 258.501.000,1.0,"Einlochmischer Alterna primo, Ablaufventil, Auslauf fest, A 107 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6211 542.501.000,1.0,"Einlochmischer Alterna architect S, ohne Ablaufventil, Auslauf fest, A 110"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6211 243.501.000,1.0,"Einlochmischer Alterna smart, Ablaufventil, Auslauf fest, A 130 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
