Typ,Artikelnummer,Menge,Bezeichnung
,6322 237.501.000,1.0,"Dreilochbatterie Laufen Meda, ohne Ablaufventil, Auslauf fest, A 110 mm,"
,6000 015.000.000,1.0,"Einbaukosten, Zwei- und Dreilocharmatur, Nettopreis"
,,,
,6323 131.501.000,1.0,"Einlochmischer Laufen Twin, ohne Ablaufventil, Auslauf fest, A 140 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6322 253.501.000,1.0,"Dreilochbatterie Laufen Meda, mit Ablaufventil, Auslauf fest, rund, A 150"
,6000 015.000.000,1.0,"Einbaukosten, Zwei- und Dreilocharmatur, Nettopreis"
,,,
,6171 157.501.000,1.0,"Zweilochbatterie Laufen Kartell, Schwenkauslauf, A 166 mm, ohne"
,6000 015.000.000,1.0,"Einbaukosten, Zwei- und Dreilocharmatur, Nettopreis"
,,,
,6152 171.501.000,1.0,"Einlochmischer Laufen Swisstap, Auslauf fest, A 180 mm, Eco+, Betätigung"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6321 564.501.000,1.0,"Einlochmischer Laufen Cityplus Eco+, Ablaufventil, Auslauf fest, A 110 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6321 568.501.000,1.0,"Einlochmischer Laufen Cityplus Eco+, Auslauf fest, A 185 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6323 755.501.000,1.0,"Einlochmischer Laufen Twinplus Slim, ohne Ablaufventil, Auslauf fest, A 140"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6323 754.501.000,1.0,"Einlochmischer Laufen Twinplus Slim, Ablaufventil, Auslauf fest, A 140 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6152 167.501.000,1.0,"Einlochmischer Laufen Swisstap, Ablaufventil, Auslauf fext, A 105 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6322 255.501.000,1.0,"Dreilochbatterie Laufen Meda, mit Ablaufventil, Auslauf fest, rund, A 150"
,6000 015.000.000,1.0,"Einbaukosten, Zwei- und Dreilocharmatur, Nettopreis"
,,,
,6322 254.501.000,1.0,"Dreilochbatterie Laufen Meda, ohne Ablaufventil, Auslauf fest, rund, A 150"
,6000 015.000.000,1.0,"Einbaukosten, Zwei- und Dreilocharmatur, Nettopreis"
,,,
,6152 161.501.000,1.0,"Einlochmischer Laufen Swisstap, Auslauf fest, A 185 mm, Eco+,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6152 160.501.000,1.0,"Einlochmischer Laufen Swisstap, ohne Ablaufventil, Auslauf fest, A 140 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6152 169.501.000,1.0,"Einlochmischer Laufen Swisstap, Ablaufventil, Auslauf fest, A 135 mm,"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6171 158.501.000,1.0,"Einlochmischer Laufen Kartell, Auslauf fest, A 125 mm, Höhe Mischdüse 184 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6323 140.501.000,1.0,"Einlochmischer Laufen Twin, ohne Ablaufventil, Auslauf fest, A 110 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6321 565.501.000,1.0,"Einlochmischer Laufen Cityplus Eco+, ohne Ablaufventil, Auslauf fest, A 110"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6152 168.501.000,1.0,"Einlochmischer Laufen Swisstap, ohne Ablaufventil, Auslauf fext, A 105 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6323 759.501.000,1.0,"Einlochmischer Laufen Twinplus Slim Eco+, ohne Ablaufventil,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6323 756.501.000,1.0,"Einlochmischer Laufen Twinplus Slim Eco+, Ablaufventil, Auslauf fest, A 140"
,6000 011.000.000,1.0,"Einbaukosten, Einlocharmatur mit Ablaufventil, Zugventil, Nettopreis"
,,,
,6323 757.501.000,1.0,"Einlochmischer Laufen Twinplus Slim Eco+, ohne Ablaufventil, Auslauf fest,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6171 160.501.000,1.0,"Einlochmischer Laufen Kartell, ohne Ablaufventil, Auslauf fest, A 135 mm,"
,6000 013.000.000,1.0,"Einbaukosten, Einlocharmatur ohne Exzenterventil, Nettopreis"
,,,
,6323 758.501.000,1.0,"Einlochmischer Laufen Twinplus Slim Eco+, Ablaufventil, Schwenkauslauf, A"
