Typ,Artikelnummer,Menge,Bezeichnung
,6521 109.501.000,1.0,"Abstellverschraubung, ½"" x ¾"", mit flacher Rosette, Verchromt"
,,,
,6542 317.501.000,1.0,"Brauseschlauch Alterna flexline, 1600 mm, ½""x½"", Kunststoff mit Metalleffekt,"
,,,
,6541 326.501.000,1.0,"Handbrause Alterna easyline, Ø 101 mm, 1-jet, SoftRain, Einlage des"
,,,
,6543 131.501.000,1.0,"Brausehalter Alterna eco, Verchromt "
,,,
,6543 132.501.000,1.0,"Brausehalter Alterna, Rosette rund, Verchromt"
,,,
,6542 316.501.000,1.0,"Brauseschlauch Alterna flexline, 1250 mm, ½""x½"", Kunststoff mit Metalleffekt,"
,,,
,6542 318.501.000,1.0,"Brauseschlauch Alterna flexline, 1800 mm, ½""x½"", Kunststoff mit Metalleffekt,"
,,,
,6521 109.501.000,1.0,"Abstellverschraubung, ½"" x ¾"", mit flacher Rosette, Verchromt"
,,,
,6542 317.501.000,1.0,"Brauseschlauch Alterna flexline, 1600 mm, ½""x½"", Kunststoff mit Metalleffekt,"
,,,
,6541 326.501.000,1.0,"Handbrause Alterna easyline, Ø 101 mm, 1-jet, SoftRain, Einlage des"
,,,
,6543 131.501.000,1.0,"Brausehalter Alterna eco, Verchromt "
