ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
2231 813.105.000,"Waschtisch Catalano Zero, Armaturenloch, 75 x 50 cm, mit Überlauf, Abstellfläche links, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,75 x 50,1,mit,links

2232 435.105.000,"Waschtisch Catalano Sfera, Armaturenloch, 125 x 50 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,125 x 50,1,ohne,

2231 812.105.000,"Waschtisch Catalano Zero, ohne Armaturenloch, 75 x 50 cm, mit Überlauf, Abstellfläche rechts, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,75 x 50,ohne,mit,rechts

2231 805.105.000,"Waschtisch Catalano Zero, Armaturenloch, 75 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,75 x 50,1,mit,

2231 822.105.000,"Waschtisch Catalano Zero, ohne Armaturenloch, 125 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,125 x 50,ohne,mit,

2231 823.105.000,"Doppelwaschtisch Catalano Zero, mit 2 Armaturenlöcher, 125 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,125 x 50,2,mit,

2231 808.105.000,"Waschtisch Catalano Zero, ohne Armaturenloch, 100 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,100 x 50,ohne,mit,

2231 802.105.000,"Waschtisch Catalano Zero, ohne Armaturenloch, 50 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,50 x 50,ohne,mit,

2231 814.105.000,"Waschtisch Catalano Zero, ohne Armaturenloch, 75 x 50 cm, mit Überlauf, Abstellfläche links, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,75 x 50,ohne,mit,links

2231 803.105.000,"Waschtisch Catalano Zero, Armaturenloch, 60 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,60 x 50,1,mit,

2231 819.105.000,"Waschtisch Catalano Zero, Armaturenloch, 100 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,100 x 50,1,mit,

2231 724.105.000,"Wandbecken Catalano Green, ohne Armaturenloch, 45 x 35 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,45 x 35,ohne,ohne,

2231 714.105.000,"Waschtisch Catalano Green, Armaturenloch, 60 x 47 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,60 x 47,1,ohne,

2231 806.105.000,"Waschtisch Catalano Zero, ohne Armaturenloch, 75 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,75 x 50,ohne,mit,

2231 718.105.000,"Waschtisch Catalano Green, Armaturenloch, 100 x 47 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Catalano,100 x 47,1,ohne,

