ArtNr,Label,Brand,Size,Hahnloch,Ueberlauf,Ablage
2112 988.100.000,"Waschtisch Laufen Val, mit 2 Armaturenlöcher, 120 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 42,2,ohne,
,,,,,,
2112 867.100.000,"Handwaschbecken Laufen Val, ohne Armaturenloch, 55 x 31,5 cm, mit Überlauf, Abstellfläche rechts Umweltdeklaration EPD Weiss",Laufen,,ohne,mit,
,,,,,,
2112 970.100.000,"Waschtisch Laufen Val, mit 3 Armaturenlöcher, 65 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,65 x 42,3,ohne,
,,,,,,
2112 967.100.000,"Waschtisch Laufen Val, mit 3 Armaturenlöcher, 60 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,60 x 42,3,mit,
,,,,,,
2112 803.100.000,"Handwaschbecken Laufen Val, Armaturenloch, 45 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,45 x 42,1,ohne,
,,,,,,
2112 812.100.000,"Waschtisch Laufen Val, ohne Armaturenloch, 60 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,60 x 42,ohne,ohne,
,,,,,,
2112 813.100.000,"Waschtisch Laufen Val, Armaturenloch, 65 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Val,65 x 42,1,mit,
,,,,,,
2112 894.100.000,"Waschtisch Laufen Val, ohne Armaturenloch, 53 x 40 cm, mit Überlauf, Ablage rechts Umweltdeklaration EPD Weiss",Laufen,53 x 40,ohne,mit,rechts
,,,,,,
2112 860.100.000,"Waschtisch Laufen Val, ohne Armaturenloch, 120 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 42,ohne,ohne,
,,,,,,
2112 969.100.000,"Waschtisch Laufen Val, mit 3 Armaturenlöcher, 65 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,65 x 42,3,mit,
,,,,,,
2112 801.100.000,"Handwaschbecken Laufen Val, Armaturenloch, 45 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Val,45 x 42,1,mit,
,,,,,,
2112 946.100.000,"Doppelwaschtisch Laufen Val, ohne Armaturenloch, 120 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 42,ohne,ohne,
,,,,,,
2112 945.100.000,"Doppelwaschtisch Laufen Val, Armaturenloch, 120 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 42,1,ohne,
,,,,,,
2112 825.100.000,"Handwaschbecken Laufen Val, Armaturenloch, mit Überlauf, 40 x 42,5 cm Umweltdeklaration EPD Weiss",Laufen,,1,mit,
,,,,,,
2112 976.100.000,"Waschtisch Laufen Val, mit 3 Armaturenlöcher, 75 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,75 x 42,3,ohne,
,,,,,,
2112 982.100.000,"Waschtisch Laufen Val, mit 3 Armaturenlöcher, 95 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,95 x 42,3,ohne,
,,,,,,
2112 826.100.000,"Handwaschbecken Laufen Val, ohne Armaturenloch, mit Überlauf, 40 x 42,5 cm Umweltdeklaration EPD Weiss",Laufen,,ohne,mit,
,,,,,,
2112 829.100.000,"Waschtisch Laufen Val, mit 2 Armaturenlöcher, 120 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 42,2,mit,
,,,,,,
2112 990.100.000,"Doppelwaschtisch Laufen Val, mit 3 Armaturenlöcher, 120 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 42,3,ohne,
,,,,,,
2112 893.100.000,"Waschtisch Laufen Val, Armaturenloch, 53 x 40 cm, mit Überlauf, Ablage rechts Umweltdeklaration EPD Weiss",Laufen,53 x 40,1,mit,rechts
,,,,,,
2112 937.100.000,"Waschtisch Laufen Val, Armaturenloch, 60 x 31 cm, ohne Überlauf, Ablage rechts Umweltdeklaration EPD Weiss",Laufen,60 x 31,1,ohne,rechts
,,,,,,
2112 811.100.000,"Waschtisch Laufen Val, Armaturenloch, 60 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,60 x 42,1,ohne,
,,,,,,
2112 808.100.000,"Waschtisch Laufen Val, ohne Armaturenloch, 55 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,55 x 42,ohne,ohne,
,,,,,,
2112 987.100.000,"Waschtisch Laufen Val, Armaturenloch, 120 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 42,1,ohne,
,,,,,,
2112 815.100.000,"Waschtisch Laufen Val, Armaturenloch, 65 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,65 x 42,1,ohne,
,,,,,,
2112 880.100.000,"Doppelwaschtisch Laufen Val, mit 2 Armaturenlöcher, 120 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 42,2,mit,
,,,,,,
2112 920.100.000,"Handwaschbecken Laufen Val, 34 x 22 cm, ohne Überlauf, Armaturenloch rechts Umweltdeklaration EPD Weiss",Laufen,34 x 22,1,ohne,rechts
,,,,,,
2112 816.100.000,"Waschtisch Laufen Val, ohne Armaturenloch, 65 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,65 x 42,ohne,ohne,
,,,,,,
2112 827.100.000,"Handwaschbecken Laufen Val, ohne Armaturenloch, ohne Überlauf, 40 x 42,5 cm Umweltdeklaration EPD Weiss",Laufen,,ohne,ohne,
,,,,,,
2112 828.100.000,"Waschtisch Laufen Val, Armaturenloch, 120 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 42,1,mit,
,,,,,,
2112 968.100.000,"Waschtisch Laufen Val, mit 3 Armaturenlöcher, 60 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,60 x 42,3,ohne,
,,,,,,
2112 817.100.000,"Waschtisch Laufen Val, Armaturenloch, 75 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Val,75 x 42,1,mit,
,,,,,,
2112 859.100.000,"Handwaschbecken Laufen Val, Armaturenloch links, 55 x 31,5 cm, mit Überlauf, Abstellfläche rechts Umweltdeklaration EPD Weiss",Laufen,,1,mit,links
,,,,,,
2112 942.100.000,"Waschtisch Laufen Val, ohne Armaturenloch, 53 x 40 cm, ohne Überlauf, Ablage rechts Umweltdeklaration EPD Weiss",Laufen,53 x 40,ohne,ohne,rechts
,,,,,,
2112 804.100.000,"Handwaschbecken Laufen Val, ohne Armaturenloch, 45 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,45 x 42,ohne,ohne,
,,,,,,
2112 899.100.000,"Handwaschbecken Laufen Val, Armaturenloch, ohne Überlauf, 40 x 42,5 cm Umweltdeklaration EPD Weiss",Laufen,,1,ohne,
,,,,,,
2112 941.100.000,"Waschtisch Laufen Val, Armaturenloch, 53 x 40 cm, ohne Überlauf, Ablage rechts Umweltdeklaration EPD Weiss",Laufen,53 x 40,1,ohne,rechts
,,,,,,
2112 898.100.000,"Handwaschbecken Laufen Val, Abstellfläche links, 55 x 31,5 cm, ohne Armaturenloch, ohne Überlauf, schneidbar, Mehrpreis Schnitt seitlich + 128.- / 138.35 Umweltdeklaration EPD Weiss",Laufen,,ohne,ohne,
,,,,,,
2112 964.100.000,"Waschtisch Laufen Val, mit 3 Armaturenlöcher, 55 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,55 x 42,3,ohne,
,,,,,,
2112 869.100.000,"Handwaschbecken Laufen Val, ohne Armaturenloch, 55 x 31,5 cm, mit Überlauf, Abstellfläche links Umweltdeklaration EPD Weiss",Laufen,,ohne,mit,
,,,,,,
2112 821.100.000,"Waschtisch Laufen Val, Armaturenloch, 95 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Val,95 x 42,1,mit,
,,,,,,
2112 830.100.000,"Waschtisch Laufen Val, ohne Armaturenloch, 120 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 42,ohne,mit,
,,,,,,
2112 868.100.000,"Handwaschbecken Laufen Val, Armaturenloch rechts, 55 x 31,5 cm, mit Überlauf, Abstellfläche links Umweltdeklaration EPD Weiss",Laufen,,1,mit,rechts
,,,,,,
2112 877.100.000,"Waschtisch Laufen Val, ohne Armaturenloch, 60 x 31 cm, mit Überlauf, Ablage rechts Umweltdeklaration EPD Weiss",Laufen,60 x 31,ohne,mit,rechts
,,,,,,
2112 979.100.000,"Waschtisch Laufen Val, mit 2 Armaturenlöcher, 95 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,95 x 42,2,mit,
,,,,,,
2112 814.100.000,"Waschtisch Laufen Val, ohne Armaturenloch, 65 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Val,65 x 42,ohne,mit,
,,,,,,
2112 806.100.000,"Waschtisch Laufen Val, ohne Armaturenloch, 55 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Val,55 x 42,ohne,mit,
,,,,,,
2112 870.100.000,"Waschtisch Laufen Val, Armaturenloch, 60 x 31,5 cm, mit Überlauf, Ablage rechts Umweltdeklaration EPD Weiss",Laufen,,1,mit,rechts
,,,,,,
2112 980.100.000,"Waschtisch Laufen Val, mit 3 Armaturenlöcher, 95 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,95 x 42,3,mit,
,,,,,,
2112 963.100.000,"Waschtisch Laufen Val, mit 3 Armaturenlöcher, 55 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,55 x 42,3,mit,
,,,,,,
2112 810.100.000,"Waschtisch Laufen Val, ohne Armaturenloch, 60 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Val,60 x 42,ohne,mit,
,,,,,,
2112 802.100.000,"Handwaschbecken Laufen Val, ohne Armaturenloch, 45 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Val,45 x 42,ohne,mit,
,,,,,,
2112 823.100.000,"Waschtisch Laufen Val, Armaturenloch, 95 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,95 x 42,1,ohne,
,,,,,,
2112 807.100.000,"Waschtisch Laufen Val, Armaturenloch, 55 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,55 x 42,1,ohne,
,,,,,,
2112 819.100.000,"Waschtisch Laufen Val, Armaturenloch, 75 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,75 x 42,1,ohne,
,,,,,,
2112 805.100.000,"Waschtisch Laufen Val, Armaturenloch, 55 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Val,55 x 42,1,mit,
,,,,,,
