ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
2111 836.100.000,"Doppelwaschtisch Laufen Moderna R, mit 2 Armaturenlöcher, 124 x 46,5 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,124 x 46.5,2,mit,
,,,,,,
2111 823.100.000,"Waschtisch Laufen Moderna R, Armaturenloch, 70 x 46,5 cm, mit Überlauf, Abstellfläche links Umweltdeklaration EPD Weiss",Laufen,70 x 46.5,1,mit,links
,,,,,,
2111 826.100.000,"Waschtisch Laufen Moderna R, Armaturenloch, 70 x 46,5 cm, mit Überlauf, Abstellfläche rechts Umweltdeklaration EPD Weiss",Laufen,70 x 46.5,1,mit,rechts
,,,,,,
2111 813.100.000,"Waschtisch Laufen Moderna R, Armaturenloch, 54 x 43,5 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,54 x 43.5,1,mit,
,,,,,,
2111 834.100.000,"Waschtisch Laufen Moderna R, ohne Armaturenloch, 104 x 46,5 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,104 x 46.5,ohne,mit,
,,,,,,
2111 827.100.000,"Waschtisch Laufen Moderna R, ohne Armaturenloch, 70 x 46,5 cm, mit Überlauf, Abstellfläche rechts Umweltdeklaration EPD Weiss",Laufen,70 x 46.5,ohne,mit,rechts
,,,,,,
2111 833.100.000,"Waschtisch Laufen Moderna R, Armaturenloch, 104 x 46,5 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,104 x 46.5,1,mit,
,,,,,,
2111 804.100.000,"Wandbecken Laufen Moderna R, Armaturenloch, 48 x 36 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,48 x 36,1,mit,
,,,,,,
2111 830.100.000,"Waschtisch Laufen Moderna R, ohne Armaturenloch, 84 x 46,5 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,84 x 46.5,ohne,mit,
,,,,,,
2111 824.100.000,"Waschtisch Laufen Moderna R, ohne Armaturenloch, 70 x 46,5 cm, mit Überlauf, Abstellfläche links Umweltdeklaration EPD Weiss",Laufen,70 x 46.5,ohne,mit,links
,,,,,,
2111 829.100.000,"Waschtisch Laufen Moderna R, Armaturenloch, 84 x 46,5 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,84 x 46.5,1,mit,
,,,,,,
2111 817.100.000,"Waschtisch Laufen Moderna R, Armaturenloch, 62 x 46,5 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,62 x 46.5,1,mit,
,,,,,,
2111 814.100.000,"Waschtisch Laufen Moderna R, ohne Armaturenloch, 54 x 43,5 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,54 x 43.5,ohne,mit,
,,,,,,
2111 803.100.000,"Wandbecken Moderna R, ohne Armaturenloch, 49 x 39 cm, mit Überlauf, barrierefrei Umweltdeklaration EPD Weiss",Laufen,49 x 39,ohne,mit,
,,,,,,
2111 818.100.000,"Waschtisch Laufen Moderna R, ohne Armaturenloch, 62 x 46,5 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,62 x 46.5,ohne,mit,
,,,,,,
2111 802.100.000,"Wandbecken Moderna R, Armaturenloch, 49 x 39 cm, mit Überlauf, barrierefrei Umweltdeklaration EPD Weiss",Laufen,49 x 39,1,mit,
,,,,,,
2111 805.100.000,"Wandbecken Laufen Moderna R, ohne Armaturenloch, 48 x 36 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,48 x 36,ohne,mit,
,,,,,,
2111 837.100.000,"Doppelwaschtisch Laufen Moderna R, ohne Armaturenlöcher, 124 x 46,5 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,124 x 46.5,,mit,
