ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
2111 230.100.000,"Waschtisch Laufen New Classic, Armaturenloch, 100 x 48 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,100 x 48,1,mit,beidseitig
,,,,,,
2111 201.100.000,"Wandbecken Laufen New Classic, Armaturenloch, 50 x 45 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,50 x 45,1,mit,
,,,,,,
2111 202.100.000,"Wandbecken Laufen New Classic, ohne Armaturenloch, 50 x 45 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,50 x 45,ohne,mit,
,,,,,,
2111 211.100.000,"Waschtisch Laufen New Classic, Armaturenloch, 60 x 48 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,60 x 48,1,mit,beidseitig
,,,,,,
2111 212.100.000,"Waschtisch Laufen New Classic, ohne Armaturenloch, 60 x 48 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,60 x 48,ohne,mit,beidseitig
,,,,,,
2111 213.100.000,"Waschtisch Laufen New Classic, Armaturenloch, 80 x 48 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,80 x 48,1,mit,beidseitig
,,,,,,
2111 217.100.000,"Waschtisch Laufen New Classic, ohne Armaturenloch, 120 x 48 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 48,ohne,mit,beidseitig
,,,,,,
2111 214.100.000,"Waschtisch Laufen New Classic, ohne Armaturenloch, 80 x 48 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,80 x 48,ohne,mit,beidseitig
,,,,,,
2111 215.100.000,"Waschtisch Laufen New Classic, Armaturenloch, 120 x 48 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 48,1,mit,beidseitig
,,,,,,
2111 216.100.000,"Waschtisch Laufen New Classic, mit 2 Armaturenlöcher, 120 x 48 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 48,2,mit,beidseitig
,,,,,,
2111 231.100.000,"Waschtisch Laufen New Classic, ohne Armaturenloch, 100 x 48 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,100 x 48,ohne,mit,beidseitig
