Typ,Artikelnummer,Menge,Bezeichnung
,2113 216.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 65 x 46 cm, ohne Überlauf, Weiss"
,,,
,2113 219.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 80 x 46 cm, mit"
,,,
,2113 250.100.000,1.0,"Doppelwaschtisch Laufen Meda, Armaturenloch, 130 x 46 cm, mit"
,,,
,2113 244.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 120 x 46 cm, mit"
,,,
,2113 206.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 55 x 46 cm, mit Überlauf, Weiss"
,,,
,2113 032.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 120 x 46 cm, mit Überlauf, Ablage"
,,,
,2113 009.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 60 x 46 cm, mit"
,,,
,2113 045.100.000,1.0,"Auflegewaschtisch Laufen Meda, ohne Armaturenloch, 60 x 46 cm, Höhe 8 cm,"
,,,
,2113 008.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, mit Überlauf, Ablage links,"
,,,
,2113 025.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 100 x 46 cm, ohne"
,,,
,2113 222.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 80 x 46 cm, ohne"
,,,
,2113 022.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 100 x 46 cm, mit"
,,,
,2113 239.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 100 x 46 cm, ohne Überlauf, Weiss"
,,,
,2113 020.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 100 x 46 cm, mit Überlauf, Ablage"
,,,
,2113 012.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 60 x 46 cm, ohne"
,,,
,2113 201.100.000,1.0,"Wandbecken Laufen Meda, ohne Armaturenloch, 45 x 35 cm, mit"
,,,
,2113 251.100.000,1.0,"Doppelwaschtisch Laufen Meda, mit 3 Armaturenlöcher, 130 x 46 cm, mit"
,,,
,2113 210.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, mit Überlauf, Weiss"
,,,
,2113 204.100.000,1.0,"Wandbecken Laufen Meda, Armaturenloch rechts, 46 x 23,5 cm, ohne Überlauf,"
,,,
,2113 243.100.000,1.0,"Waschtisch Laufen Meda, mit 2 Armaturenlöcher, 120 x 46 cm, mit"
,,,
,2113 203.100.000,1.0,"Wandbecken Laufen Meda, ohne Armaturenloch, 45 x 35 cm, ohne"
,,,
,2113 040.100.000,1.0,"Auflegewaschtisch Laufen Meda, mit 3 Armaturenlöcher, 60 x 46 cm, Höhe 8 cm,"
,,,
,2113 016.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 100 x 46 cm, mit"
,,,
,2113 015.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 100 x 46 cm, mit"
,,,
,2113 042.100.000,1.0,"Auflegewaschtisch Laufen Meda, ohne Armaturenloch, 60 x 46 cm, Höhe 8 cm,"
,,,
,2113 220.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 80 x 46 cm, mit"
,,,
,2113 021.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 100 x 46 cm, mit"
,,,
,2113 241.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 100 x 46 cm, ohne"
,,,
,2113 001.100.000,1.0,"Wandbecken Laufen Meda, ohne Armaturenloch, 46 x 23,5 cm, ohne"
,,,
,2113 225.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 80 x 46 cm, mit"
,,,
,2113 019.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 100 x 46 cm, ohne"
,,,
,2113 234.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 80 x 46 cm, ohne"
,,,
,2113 014.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 100 x 46 cm, mit Überlauf, Ablage"
,,,
,2113 247.100.000,1.0,"Waschtisch Laufen Meda, mit 2 Armaturenlöcher, 120 x 46 cm, ohne"
