Typ,Artikelnummer,Menge,Bezeichnung
,2112 233.100.000,1.0,"Waschtisch Pro S, mit 2 Armaturenlöcher, 120 x 47 cm, mit"
,,,
,2112 234.100.000,1.0,"Waschtisch Pro S, ohne Armaturenloch, 120 x 47 cm, mit Überlauf, Weiss"
,,,
,2112 235.100.000,1.0,"Doppelwaschtisch Pro S, mit 2 Armaturenlöcher, 120 x 47 cm, mit"
,,,
,2112 236.100.000,1.0,"Doppelwaschtisch Pro S, ohne Armaturenlöcher, 120 x 47 cm, mit"
,,,
,2112 215.100.000,1.0,"Waschtisch Pro S, Armaturenloch, 85 x 46,5 cm, mit Überlauf, Weiss"
,,,
,2112 204.100.000,1.0,"Handwaschbecken Pro S, ohne Armaturenloch, 45 x 34 cm, mit"
,,,
,2112 213.100.000,1.0,"Waschtisch Pro S, 70 x 46,5 cm, Armaturenloch, mit Überlauf, Weiss"
,,,
,2112 218.100.000,1.0,"Waschtisch Pro S, ohne Armaturenloch, 105 x 46,5 cm, mit Überlauf, Weiss"
,,,
,2112 212.100.000,1.0,"Waschtisch Pro S, 65 x 46,5 cm, ohne Armaturenloch, mit Überlauf, Weiss"
,,,
,2112 205.100.000,1.0,"Auflegewandbecken Pro S, 45 x 34 cm, Höhe 8,5 cm, Armaturenloch, mit"
,,,
,2112 217.100.000,1.0,"Waschtisch Pro S, Armaturenloch, 105 x 46,5 cm, mit Überlauf, Weiss"
,,,
,2112 220.100.000,1.0,"Doppelwaschtisch Pro S, ohne Armaturenlöcher, 130 x 46,5 cm, mit"
,,,
,2112 208.100.000,1.0,"Waschtisch Pro S, 55 x 46,5 cm, ohne Armaturenloch, mit Überlauf, Weiss"
,,,
,2112 209.100.000,1.0,"Waschtisch Pro S, 60 x 46,5 cm, Armaturenloch, mit Überlauf, Weiss"
,,,
,2112 203.100.000,1.0,"Handwaschbecken Pro S, Armaturenloch, 45 x 34 cm, mit Überlauf, Weiss"
,,,
,2112 214.100.000,1.0,"Waschtisch Pro S, 70 x 46,5 cm, ohne Armaturenloch, mit Überlauf, Weiss"
,,,
,2112 210.100.000,1.0,"Waschtisch Pro S, 60 x 46,5 cm, ohne Armaturenloch, mit Überlauf, Weiss"
,,,
,2112 216.100.000,1.0,"Waschtisch Pro S, ohne Armaturenloch, 85 x 46,5 cm, mit Überlauf, Weiss"
,,,
,2112 207.100.000,1.0,"Waschtisch Pro S, 55 x 46,5 cm, Armaturenloch, mit Überlauf, Weiss"
,,,
,2112 219.100.000,1.0,"Doppelwaschtisch Pro S, mit 2 Armaturenlöcher, 130 x 46,5 cm, mit"
,,,
,2112 211.100.000,1.0,"Waschtisch Pro S, 65 x 46,5 cm, Armaturenloch, mit Überlauf, Weiss"
,,,
,2112 232.100.000,1.0,"Waschtisch Pro S, Armaturenloch, 120 x 47 cm, mit Überlauf, Weiss"
