ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
2211 402.100.000,"Wandbecken Alterna primo round, 40 x 34,5 cm, Armaturenloch, mit Überlauf Umweltdeklaration EPD Weiss",Alterna,40 x 34.5,1,mit,
,,,,,,
2116 225.100.000,"Doppelwaschtisch Alterna cubito, 130 x 48,5 cm, mit 2 Armaturenlöcher, mit Überlauf Umweltdeklaration EPD Weiss",Alterna,130 x 48.5,2,mit,
,,,,,,
2110 101.100.000,"Waschtisch Alterna calea, 55 x 46 cm, Armaturenloch, mit Überlauf Umweltdeklaration EPD Weiss",Alterna,55 x 46,1,mit,
,,,,,,
2211 404.100.000,"Waschtisch Alterna primo round, ohne Armaturenloch, 56 x 45 cm, mit Überlauf Umweltdeklaration EPD Weiss",Alterna,56 x 45,ohne,mit,
,,,,,,
2116 213.100.000,"Waschtisch Alterna cubito, 65 x 48,5 cm, Armaturenloch, mit Überlauf Umweltdeklaration EPD Weiss",Alterna,65 x 48.5,1,mit,
,,,,,,
2110 105.100.000,"Waschtisch Alterna calea, 80 x 46 cm, Armaturenloch, mit Überlauf Umweltdeklaration EPD Weiss",Alterna,80 x 46,1,mit,
,,,,,,
2211 400.100.000,"Wandbecken Alterna primo, 45 x 34 cm, Armaturenloch, mit Überlauf Weiss",Alterna,45 x 34,1,mit,
,,,,,,
2211 407.100.000,"Waschtisch Alterna primo, 60 x 48 cm, Armaturenloch, mit Überlauf Weiss",Alterna,60 x 48,1,mit,
,,,,,,
2116 211.100.000,"Waschtisch Alterna cubito, 55 x 42 cm, Armaturenloch, mit Überlauf Umweltdeklaration EPD Weiss",Alterna,55 x 42,1,mit,
,,,,,,
2110 106.100.000,"Waschtisch Alterna calea, 100 x 46 cm, Armaturenloch, mit Überlauf Umweltdeklaration EPD Weiss",Alterna,100 x 46,1,mit,
,,,,,,
2110 103.100.000,"Waschtisch Alterna calea, Abstellfläche links, 80 x 46 cm, Armaturenloch, mit Überlauf Umweltdeklaration EPD Weiss",Alterna,80 x 46,1,mit,links
,,,,,,
2211 408.100.000,"Waschtisch Alterna primo, 80 x 48 cm, Armaturenloch, mit Überlauf Weiss",Alterna,80 x 48,1,mit,
,,,,,,
2110 102.100.000,"Waschtisch Alterna calea, 60 x 46 cm, Armaturenloch, mit Überlauf Umweltdeklaration EPD Weiss",Alterna,60 x 46,1,mit,
,,,,,,
2110 107.100.000,"Doppelwaschtisch Alterna calea, 120 x 46 cm, mit 2 Armaturenlöcher, mit Überlauf Umweltdeklaration EPD Weiss",Alterna,120 x 46,2,mit,
,,,,,,
2110 100.100.000,"Wandbecken Alterna calea, 45 x 36 cm, Armaturenloch, mit Überlauf Umweltdeklaration EPD Weiss",Alterna,45 x 36,1,mit,
,,,,,,
2211 403.100.000,"Waschtisch Alterna primo round, Armaturenloch, 56 x 45 cm, mit Überlauf Umweltdeklaration EPD Weiss",Alterna,56 x 45,1,mit,
,,,,,,
2116 221.100.000,"Waschtisch Alterna cubito, 85 x 48,5 cm, Armaturenloch, mit Überlauf Umweltdeklaration EPD Weiss",Alterna,85 x 48.5,1,mit,
,,,,,,
