ArtNr,Label,Brand,Size,Material,Form
1313 166.100.185,"Duschwanne Kaldewei Calima, 1200 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,120 x 80,SolidLite,Rechteckig

1313 159.100.185,"Duschwanne Kaldewei Calima, 1000 x 1000 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,100 x 100,SolidLite,Quadratisch

1313 150.100.185,"Duschwanne Kaldewei Calima, 800 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,80 x 80,SolidLite,Quadratisch

1313 156.100.185,"Duschwanne Kaldewei Calima, 1000 x 750 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,100 x 75,SolidLite,Rechteckig

1313 175.100.185,"Duschwanne Kaldewei Calima, 1400 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,140 x 80,SolidLite,Rechteckig

1313 188.100.185,"Duschwanne Kaldewei Calima, 1700 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,170 x 80,SolidLite,Rechteckig

1313 171.100.185,"Duschwanne Kaldewei Calima, 1300 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,130 x 80,SolidLite,Rechteckig

1313 151.100.185,"Duschwanne Kaldewei Calima, 900 x 700 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,90 x 70,SolidLite,Rechteckig

1313 162.100.185,"Duschwanne Kaldewei Calima, 1100 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,110 x 80,SolidLite,Rechteckig

1313 193.100.185,"Duschwanne Kaldewei Calima, 1800 x 900 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,180 x 90,SolidLite,Rechteckig

1313 163.100.185,"Duschwanne Kaldewei Calima, 1100 x 900 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,110 x 90,SolidLite,Rechteckig

1313 181.100.185,"Duschwanne Kaldewei Calima, 1500 x 900 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,150 x 90,SolidLite,Rechteckig

1313 192.100.185,"Duschwanne Kaldewei Calima, 1800 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,180 x 80,SolidLite,Rechteckig

1313 155.100.185,"Duschwanne Kaldewei Calima, 1000 x 700 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,100 x 70,SolidLite,Rechteckig

1313 178.100.185,"Duschwanne Kaldewei Calima, 1500 x 700 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,150 x 70,SolidLite,Rechteckig

