ArtNr,Label,Brand,Size,Material,Form
1313 258.100.000,"Duschwanne Kaldewei Conoflat, 90 x 150 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,150 x 90,Stahl-Email,Rechteckig

1313 247.100.000,"Duschwanne Kaldewei Conoflat, 90 x 110 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,110 x 90,Stahl-Email,Rechteckig

1313 246.100.000,"Duschwanne Kaldewei Conoflat, 80 x 110 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,110 x 80,Stahl-Email,Rechteckig

1313 257.100.000,"Duschwanne Kaldewei Conoflat, 100 x 140 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,140 x 100,Stahl-Email,Rechteckig

1313 248.100.000,"Duschwanne Kaldewei Conoflat, 80 x 120 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 80,Stahl-Email,Rechteckig

1313 241.100.000,"Duschwanne Kaldewei Conoflat, 80 x 90 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,90 x 80,Stahl-Email,Rechteckig

1313 254.100.000,"Duschwanne Kaldewei Conoflat, 100 x 130 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,130 x 100,Stahl-Email,Rechteckig

1313 251.100.000,"Duschwanne Kaldewei Conoflat, 120 x 120 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 120,Stahl-Email,Quadratisch

1313 245.100.000,"Duschwanne Kaldewei Conoflat, 100 x 100 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,100 x 100,Stahl-Email,Quadratisch

1313 253.100.000,"Duschwanne Kaldewei Conoflat, 90 x 130 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,130 x 90,Stahl-Email,Rechteckig

1313 250.100.000,"Duschwanne Kaldewei Conoflat, 100 x 120 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 100,Stahl-Email,Rechteckig

1313 259.100.000,"Duschwanne Kaldewei Conoflat, 90 x 160 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,160 x 90,Stahl-Email,Rechteckig

1313 249.100.000,"Duschwanne Kaldewei Conoflat, 90 x 120 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 90,Stahl-Email,Rechteckig

1313 252.100.000,"Duschwanne Kaldewei Conoflat, 80 x 130 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,130 x 80,Stahl-Email,Rechteckig

1313 256.100.000,"Duschwanne Kaldewei Conoflat, 90 x 140 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,140 x 90,Stahl-Email,Rechteckig

1313 243.100.000,"Duschwanne Kaldewei Conoflat, 80 x 100 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,100 x 80,Stahl-Email,Rechteckig

1313 242.100.000,"Duschwanne Kaldewei Conoflat, 90 x 90 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,90 x 90,Stahl-Email,Quadratisch

1313 255.100.000,"Duschwanne Kaldewei Conoflat, 80 x 140 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,140 x 80,Stahl-Email,Rechteckig

1313 244.100.000,"Duschwanne Kaldewei Conoflat, 90 x 100 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,100 x 90,Stahl-Email,Rechteckig
