ArtNr,Label,Brand,Size,Material,Form
1425 544.536.000,"Duschenwanne Laufen Pro S Superflach, 1000 x 800 x 28 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,100 x 80,Marbond,Rechteckig

1425 549.536.000,"Duschenwanne Laufen Pro S Superflach, 1300 x 900 x 32 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,130 x 90,Marbond,Rechteckig

1425 577.536.000,"Duschenwanne Laufen Pro S Superflach, 1600 x 1000 x 34 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,160 x 100,Marbond,Rechteckig

1425 550.536.000,"Duschenwanne Laufen Pro S Superflach, 1400 x 800 x 32 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,140 x 80,Marbond,Rechteckig

1425 553.536.000,"Duschenwanne Laufen Pro S Superflach, 1500 x 900 x 34 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,150 x 90,Marbond,Rechteckig

1425 546.536.000,"Duschenwanne Laufen Pro S Superflach, 1200 x 800 x 30 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,120 x 80,Marbond,Rechteckig

1425 559.536.000,"Duschenwanne Laufen Pro S Superflach, 2000 x 800 x 38 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,200 x 80,Marbond,Rechteckig

1425 575.536.000,"Duschenwanne Laufen Pro S Superflach, 1200 x 1000 x 30 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,120 x 100,Marbond,Rechteckig

1425 551.536.000,"Duschenwanne Laufen Pro S Superflach, 1400 x 900 x 32 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,140 x 90,Marbond,Rechteckig

1425 548.536.000,"Duschenwanne Laufen Pro S Superflach, 1300 x 800 x 32 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,130 x 80,Marbond,Rechteckig

1425 576.536.000,"Duschenwanne Laufen Pro S Superflach, 1400 x 1000 x 32 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,140 x 100,Marbond,Rechteckig

1425 556.536.000,"Duschenwanne Laufen Pro S Superflach, 1700 x 750 x 36 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,170 x 75,Marbond,Rechteckig

1425 560.536.000,"Duschenwanne Laufen Pro S Superflach, 2000 x 1000 x 38 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,200 x 100,Marbond,Rechteckig

1425 578.536.000,"Duschenwanne Laufen Pro S Superflach, 1200 x 1200 x 30 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,120 x 120,Marbond,Quadratisch

1425 558.536.000,"Duschenwanne Laufen Pro S Superflach, 1800 x 900 x 36 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,180 x 90,Marbond,Rechteckig

1425 547.536.000,"Duschenwanne Laufen Pro S Superflach, 1200 x 900 x 30 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,120 x 90,Marbond,Rechteckig

1425 543.536.000,"Duschenwanne Laufen Pro S Superflach, 900 x 900 x 28 mm, Mineralwerkstoff Marbond, linearer Ablauf, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,90 x 90,Marbond,Quadratisch

1425 555.536.000,"Duschenwanne Laufen Pro S Superflach, 1600 x 900 x 34 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,160 x 90,Marbond,Rechteckig

1425 554.536.000,"Duschenwanne Laufen Pro S Superflach, 1600 x 800 x 34 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,160 x 80,Marbond,Rechteckig

1425 552.536.000,"Duschenwanne Laufen Pro S Superflach, 1500 x 800 x 34 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,150 x 80,Marbond,Rechteckig

1425 574.536.000,"Duschenwanne Laufen Pro S Superflach, 1000 x 1000 x 30 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,100 x 100,Marbond,Quadratisch

1425 545.536.000,"Duschenwanne Laufen Pro S Superflach, 1000 x 900 x 28 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,100 x 90,Marbond,Rechteckig

1425 557.536.000,"Duschenwanne Laufen Pro S Superflach, 1800 x 800 x 36 mm, Mineralwerkstoff Marbond, linearer Ablauf an kurzer Seite, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Marbond abnehmbar, Oberfläche mit Struktur Weiss matt",Laufen,180 x 80,Marbond,Rechteckig
