ArtNr,Label,Brand,Size,Material,Form
1313 311.100.000,"Duschwanne Kaldewei Superplan Classic, 90 x 90 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,90 x 90,Stahl-Email,Quadratisch

1313 315.100.000,"Duschwanne Kaldewei Superplan Classic, 90 x 100 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,100 x 90,Stahl-Email,Rechteckig

1313 333.100.000,"Duschwanne Kaldewei Superplan Classic, 140 x 90 x 4,3 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,140 x 90,Stahl-Email,Rechteckig

1313 313.100.000,"Duschwanne Kaldewei Superplan Classic, 120 x 120 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 120,Stahl-Email,Quadratisch

1313 307.100.000,"Duschwanne Kaldewei Superplan Classic, 80 x 80 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,80 x 80,Stahl-Email,Quadratisch

1313 309.100.000,"Duschwanne Kaldewei Superplan Classic, 90 x 75 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,90 x 75,Stahl-Email,Rechteckig

1313 318.100.000,"Duschwanne Kaldewei Superplan Classic, 120 x 100 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 100,Stahl-Email,Rechteckig

1313 317.100.000,"Duschwanne Kaldewei Superplan Classic, 90 x 120 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 90,Stahl-Email,Rechteckig

1313 334.100.000,"Duschwanne Kaldewei Superplan Classic, 140 x 100 x 4,3 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,140 x 100,Stahl-Email,Rechteckig

1313 308.100.000,"Duschwanne Kaldewei Superplan Classic, 80 x 90 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,90 x 80,Stahl-Email,Rechteckig

1313 316.100.000,"Duschwanne Kaldewei Superplan Classic, 90 x 110 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,110 x 90,Stahl-Email,Rechteckig

1313 314.100.000,"Duschwanne Kaldewei Superplan Classic, 120 x 80 x 2,5 cm, Stahl, Schallisolierung, Umweltdeklaration EPD Weiss",Kaldewei,120 x 80,Stahl-Email,Rechteckig

1313 312.100.000,"Duschwanne Kaldewei Superplan Classic, 100 x 100 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,100 x 100,Stahl-Email,Quadratisch

1313 310.100.000,"Duschwanne Kaldewei Superplan Classic, 100 x 80 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,100 x 80,Stahl-Email,Rechteckig
