,Artikelnummer,Menge,Bezeichnung
,1117 240.100.000,1.0,"Badewanne Alterna steel uno, 180 x 80 x 41 cm, Nutzinhalt 171 Liter, Stahl,"
,1411 122.501.000,1.0,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,1.0,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 005.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,6 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 714.000.000,1.0,"Badewannenträger Alterna, 180 x 80 cm, zu Alterna ecoform, Alterna steel uno,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,,,
,1117 239.100.000,1.0,"Badewanne Alterna steel uno, 170 x 75 x 41 cm, Nutzinhalt 136 Liter, Stahl,"
,1411 122.501.000,1.0,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,1.0,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 717.000.000,1.0,"Badewannenträger Alterna, 170 x 75 cm, zu Alterna ecoform, Alterna steel uno,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,,,
,1117 238.100.000,1.0,"Badewanne Alterna steel uno, 170 x 70 x 41 cm, Nutzinhalt 110 Liter, Stahl,"
,1411 122.501.000,1.0,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,1.0,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 716.000.000,1.0,"Badewannenträger Alterna, 170 x 70 cm, zu Alterna ecoform, Alterna steel uno,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,,,
,1117 237.100.000,1.0,"Badewanne Alterna steel uno, 160 x 70 x 41 cm, Nutzinhalt 107 Liter, Stahl,"
,1411 122.501.000,1.0,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,1.0,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 711.000.000,1.0,"Badewannenträger Alterna, 160 x 70 cm, zu Alterna ecoform, Alterna steel uno,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
