Typ,Artikelnummer,Menge,Bezeichnung
,1117 207.100.000,1.0,"Badewanne Alterna steel zero, 170 x 80 cm, Nutzinhalt 161 Liter, mit zwei"
ALT,1117 207.536.000,1.0,"Badewanne Alterna steel zero, 170 x 80 cm, Nutzinhalt 161 Liter, mit zwei"
,1411 322.501.000,1.0,"Ab- und Überlaufset Viega Visign M5, Drehrosette, Ventilkegel, zu"
,1411 312.000.000,1.0,"Wannengarnitur Viega Multiplex, Kabellänge 72,5 cm, Ablaufventil 1 ½"","
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 751.000.000,1.0,"Badewannenträger Alterna, 170 x 80 cm, zu 1117 207, zu Alterna steel zero,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,,,
,1117 209.100.000,1.0,"Badewanne Alterna steel zero, 190 x 90 cm, Nutzinhalt 235 Liter, mit zwei"
ALT,1117 209.536.000,1.0,"Badewanne Alterna steel zero, 190 x 90 cm, Nutzinhalt 235 Liter, mit zwei"
,1411 322.501.000,1.0,"Ab- und Überlaufset Viega Visign M5, Drehrosette, Ventilkegel, zu"
,1411 312.000.000,1.0,"Wannengarnitur Viega Multiplex, Kabellänge 72,5 cm, Ablaufventil 1 ½"","
,1461 006.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,8 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 753.000.000,1.0,"Badewannenträger Alterna, 190 x 90 cm, zu 1117 209, zu Alterna steel zero,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,,,
,1117 208.100.000,1.0,"Badewanne Alterna steel zero, 180 x 80 cm, Nutzinhalt 177 Liter, mit zwei"
ALT,1117 208.536.000,1.0,"Badewanne Alterna steel zero, 180 x 80 cm, Nutzinhalt 177 Liter, mit zwei"
,1411 322.501.000,1.0,"Ab- und Überlaufset Viega Visign M5, Drehrosette, Ventilkegel, zu"
,1411 312.000.000,1.0,"Wannengarnitur Viega Multiplex, Kabellänge 72,5 cm, Ablaufventil 1 ½"","
,1461 143.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,7 m, integrierte Schallisolierung,"
,1441 752.000.000,1.0,"Badewannenträger Alterna, 180 x 80 cm, zu 1117 208, zu Alterna steel zero,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
