Typ,Artikelnummer,Menge,Bezeichnung
,1121 534.100.000,1.0,"Badewanne Alterna wai, 180 x 80 cm, Tiefe 42 cm, Stahl, Schallisolierung,"
ALT,1121 534.536.000,1.0,"Badewanne Alterna wai, 180 x 80 cm, Tiefe 42 cm, Stahl, Schallisolierung,"
ALT,1121 534.105.000,1.0,"Badewanne Alterna wai, 180 x 80 cm, Tiefe 42 cm, Stahl, Schallisolierung,"
ALT,1121 534.100.186,1.0,"Badewanne Alterna wai, 180 x 80 cm, Tiefe 42 cm, Stahl, Schallisolierung,"
ALT,1121 534.536.202,1.0,"Badewanne Alterna wai, 180 x 80 cm, Tiefe 42 cm, Stahl, Schallisolierung,"
,1411 322.501.000,1.0,"Ab- und Überlaufset Viega Visign M5, Drehrosette, Ventilkegel, zu"
OR,1411 322.100.000,1.0,"Ab- und Überlaufset Viega Visign M5, Drehrosette, Ventilkegel, zu"
OR,1411 342.501.000,1.0,"Ab- und Überlaufset Viega Visign MT5, Drehrosette, Überlaufrosette,"
OR,1411 342.100.000,1.0,"Ab- und Überlaufset Viega Visign MT5, Drehrosette, Überlaufrosette,"
,1411 311.000.000,1.0,"Wannengarnitur Viega Multiplex, Kabellänge 54 cm, Ablaufventil 1½"","
OR,1411 333.000.000,1.0,"Wannengarnitur Viega Multiplex Trio, Kabelzug 56 cm, mit Wanneneinlauf,"
,1461 005.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,6 m, 2 Wannen-Eckdichtungen Butyl,"
,1144 115.000.000,1.0,"Badewannenträger Alterna, 180 x 80 cm, zu Alterna wai, Höhe 57 cm, erfüllt die"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,1431 190.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
,,,
,1121 533.100.000,1.0,"Badewanne Alterna wai, 170 x 75 cm, Tiefe 42 cm, Stahl, Schallisolierung,"
ALT,1121 533.536.000,1.0,"Badewanne Alterna wai, 170 x 75 cm, Tiefe 42 cm, Stahl, Schallisolierung,"
ALT,1121 533.105.000,1.0,"Badewanne Alterna wai, 170 x 75 cm, Tiefe 42 cm, Stahl, Schallisolierung,"
ALT,1121 533.100.186,1.0,"Badewanne Alterna wai, 170 x 75 cm, Tiefe 42 cm, Stahl, Schallisolierung,"
ALT,1121 533.536.202,1.0,"Badewanne Alterna wai, 170 x 75 cm, Tiefe 42 cm, Stahl, Schallisolierung,"
,1411 322.501.000,1.0,"Ab- und Überlaufset Viega Visign M5, Drehrosette, Ventilkegel, zu"
OR,1411 322.100.000,1.0,"Ab- und Überlaufset Viega Visign M5, Drehrosette, Ventilkegel, zu"
OR,1411 342.501.000,1.0,"Ab- und Überlaufset Viega Visign MT5, Drehrosette, Überlaufrosette,"
OR,1411 342.100.000,1.0,"Ab- und Überlaufset Viega Visign MT5, Drehrosette, Überlaufrosette,"
,1411 311.000.000,1.0,"Wannengarnitur Viega Multiplex, Kabellänge 54 cm, Ablaufventil 1½"","
OR,1411 333.000.000,1.0,"Wannengarnitur Viega Multiplex Trio, Kabelzug 56 cm, mit Wanneneinlauf,"
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1144 114.000.000,1.0,"Badewannenträger Alterna, 170 x 75 cm, zu Alterna wai, Höhe 57 cm, erfüllt die"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,1431 190.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
