Typ,Artikelnummer,Menge,Bezeichnung
,1111 503.100.000,1.0,"Badewanne Schmidlin Kombi, 170 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 503.105.000,1.0,"Badewanne Schmidlin Kombi, 170 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 503.151.000,1.0,"Badewanne Schmidlin Kombi, 170 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 503.152.000,1.0,"Badewanne Schmidlin Kombi, 170 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 503.153.000,1.0,"Badewanne Schmidlin Kombi, 170 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
,1411 122.501.000,1.0,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,1.0,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 428.000.000,1.0,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 570 mm, Schmidlin Kombi,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,1431 190.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
,,,
,1111 506.100.000,1.0,"Badewanne Schmidlin Kombi, 180 x 80 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 506.105.000,1.0,"Badewanne Schmidlin Kombi, 180 x 80 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 506.151.000,1.0,"Badewanne Schmidlin Kombi, 180 x 80 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 506.152.000,1.0,"Badewanne Schmidlin Kombi, 180 x 80 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 506.153.000,1.0,"Badewanne Schmidlin Kombi, 180 x 80 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
,1411 122.501.000,1.0,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,1.0,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 005.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,6 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 494.000.000,1.0,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 570 mm, Schmidlin Kombi,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,1431 190.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
,,,
,1111 505.100.000,1.0,"Badewanne Schmidlin Kombi, 160 x 70 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 505.105.000,1.0,"Badewanne Schmidlin Kombi, 160 x 70 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 505.151.000,1.0,"Badewanne Schmidlin Kombi, 160 x 70 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 505.152.000,1.0,"Badewanne Schmidlin Kombi, 160 x 70 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 505.153.000,1.0,"Badewanne Schmidlin Kombi, 160 x 70 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
,1411 122.501.000,1.0,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,1.0,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 427.000.000,1.0,"Badewannenträger Schedel, 1600 x 700 mm, Höhe 555 mm, Schmidlin Kombi,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,1431 190.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
,,,
,1111 501.100.000,1.0,"Badewanne Schmidlin Kombi, 160 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 501.105.000,1.0,"Badewanne Schmidlin Kombi, 160 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 501.151.000,1.0,"Badewanne Schmidlin Kombi, 160 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 501.152.000,1.0,"Badewanne Schmidlin Kombi, 160 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 501.153.000,1.0,"Badewanne Schmidlin Kombi, 160 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
,1411 122.501.000,1.0,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,1.0,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 491.000.000,1.0,"Badewannenträger Schedel, 1600 x 750 mm, Höhe 555 mm, Schmidlin Kombi,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,1431 190.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
,,,
,1111 504.100.000,1.0,"Badewanne Schmidlin Kombi, 170 x 80 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 504.105.000,1.0,"Badewanne Schmidlin Kombi, 170 x 80 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 504.151.000,1.0,"Badewanne Schmidlin Kombi, 170 x 80 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 504.152.000,1.0,"Badewanne Schmidlin Kombi, 170 x 80 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 504.153.000,1.0,"Badewanne Schmidlin Kombi, 170 x 80 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
,1411 122.501.000,1.0,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,1.0,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 493.000.000,1.0,"Badewannenträger Schedel, 1700 x 800 mm, Höhe 570 mm, Schmidlin Kombi,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,1431 190.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
,,,
,1111 502.100.000,1.0,"Badewanne Schmidlin Kombi, 165 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 502.105.000,1.0,"Badewanne Schmidlin Kombi, 165 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 502.151.000,1.0,"Badewanne Schmidlin Kombi, 165 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 502.152.000,1.0,"Badewanne Schmidlin Kombi, 165 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
ALT,1111 502.153.000,1.0,"Badewanne Schmidlin Kombi, 165 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm,"
,1411 122.501.000,1.0,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,1.0,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
