Typ,Artikelnummer,Menge,Bezeichnung
,1111 112.100.000,1.0,"Badewanne Schmidlin Norm Classic, 160 x 75 cm, Tiefe 45 cm, Stahl,"
ALT,1111 112.105.000,1.0,"Badewanne Schmidlin Norm Classic, 160 x 75 cm, Tiefe 45 cm, Stahl,"
ALT,1111 112.151.000,1.0,"Badewanne Schmidlin Norm Classic, 160 x 75 cm, Tiefe 45 cm, Stahl,"
ALT,1111 112.152.000,1.0,"Badewanne Schmidlin Norm Classic, 160 x 75 cm, Tiefe 45 cm, Stahl,"
ALT,1111 112.153.000,1.0,"Badewanne Schmidlin Norm Classic, 160 x 75 cm, Tiefe 45 cm, Stahl,"
,1411 122.501.000,1.0,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,1.0,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1431 190.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
,,,
,1111 108.100.000,1.0,"Badewanne Schmidlin Norm Classic, 180 x 80 cm, Tiefe 45 cm, Stahl,"
ALT,1111 108.105.000,1.0,"Badewanne Schmidlin Norm Classic, 180 x 80 cm, Tiefe 45 cm, Stahl,"
ALT,1111 108.151.000,1.0,"Badewanne Schmidlin Norm Classic, 180 x 80 cm, Tiefe 45 cm, Stahl,"
ALT,1111 108.152.000,1.0,"Badewanne Schmidlin Norm Classic, 180 x 80 cm, Tiefe 45 cm, Stahl,"
ALT,1111 108.153.000,1.0,"Badewanne Schmidlin Norm Classic, 180 x 80 cm, Tiefe 45 cm, Stahl,"
,1411 122.501.000,1.0,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,1.0,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 005.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,6 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 714.000.000,1.0,"Badewannenträger Alterna, 180 x 80 cm, zu Alterna ecoform, Alterna steel uno,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,1431 190.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
,,,
,1431 190.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
ALT,1111 109.100.000,1.0,"Badewanne Schmidlin Norm Classic, 170 x 75 cm, Tiefe 45 cm, Stahl,"
ALT,1111 109.105.000,1.0,"Badewanne Schmidlin Norm Classic, 170 x 75 cm, Tiefe 45 cm, Stahl,"
ALT,1111 109.151.000,1.0,"Badewanne Schmidlin Norm Classic, 170 x 75 cm, Tiefe 45 cm, Stahl,"
ALT,1111 109.152.000,1.0,"Badewanne Schmidlin Norm Classic, 170 x 75 cm, Tiefe 45 cm, Stahl,"
ALT,1111 109.153.000,1.0,"Badewanne Schmidlin Norm Classic, 170 x 75 cm, Tiefe 45 cm, Stahl,"
,1411 122.501.000,1.0,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,1.0,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 717.000.000,1.0,"Badewannenträger Alterna, 170 x 75 cm, zu Alterna ecoform, Alterna steel uno,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,1431 190.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
,,,
,1431 190.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
ALT,1111 113.100.000,1.0,"Badewanne Schmidlin Norm Classic, 165 x 75 cm, Tiefe 45 cm, Stahl,"
ALT,1111 113.105.000,1.0,"Badewanne Schmidlin Norm Classic, 165 x 75 cm, Tiefe 45 cm, Stahl,"
ALT,1111 113.151.000,1.0,"Badewanne Schmidlin Norm Classic, 165 x 75 cm, Tiefe 45 cm, Stahl,"
ALT,1111 113.152.000,1.0,"Badewanne Schmidlin Norm Classic, 165 x 75 cm, Tiefe 45 cm, Stahl,"
ALT,1111 113.153.000,1.0,"Badewanne Schmidlin Norm Classic, 165 x 75 cm, Tiefe 45 cm, Stahl,"
,1411 122.501.000,1.0,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,1.0,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1431 190.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
,,,
,1111 115.100.000,1.0,"Badewanne Schmidlin Norm Classic, 175 x 70 cm, Tiefe 45 cm, Stahl,"
ALT,1111 115.105.000,1.0,"Badewanne Schmidlin Norm Classic, 175 x 70 cm, Tiefe 45 cm, Stahl,"
ALT,1111 115.151.000,1.0,"Badewanne Schmidlin Norm Classic, 175 x 70 cm, Tiefe 45 cm, Stahl,"
ALT,1111 115.152.000,1.0,"Badewanne Schmidlin Norm Classic, 175 x 70 cm, Tiefe 45 cm, Stahl,"
ALT,1111 115.153.000,1.0,"Badewanne Schmidlin Norm Classic, 175 x 70 cm, Tiefe 45 cm, Stahl,"
,1411 122.501.000,1.0,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,1.0,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1431 190.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
,,,
,1111 116.100.000,1.0,"Badewanne Schmidlin Norm Classic, 175 x 75 cm, Tiefe 45 cm, Stahl,"
ALT,1111 116.105.000,1.0,"Badewanne Schmidlin Norm Classic, 175 x 75 cm, Tiefe 45 cm, Stahl,"
ALT,1111 116.151.000,1.0,"Badewanne Schmidlin Norm Classic, 175 x 75 cm, Tiefe 45 cm, Stahl,"
ALT,1111 116.152.000,1.0,"Badewanne Schmidlin Norm Classic, 175 x 75 cm, Tiefe 45 cm, Stahl,"
ALT,1111 116.153.000,1.0,"Badewanne Schmidlin Norm Classic, 175 x 75 cm, Tiefe 45 cm, Stahl,"
,1411 122.501.000,1.0,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,1.0,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1431 190.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
,,,
,1111 101.100.000,1.0,"Badewanne Schmidlin Norm Classic, 140 x 70 cm, Tiefe 44 cm, Stahl,"
