Typ,Artikelnummer,Menge,Bezeichnung
,1425 577.536.000,1.0,"Duschwanne Laufen Pro S Superflach, 1600 x 1000 x 34 mm, Mineralwerkstoff"
ALT,1425 577.841.000,1.0,"Duschwanne Laufen Pro S Superflach, 1600 x 1000 x 34 mm, Mineralwerkstoff"
ALT,1425 577.136.000,1.0,"Duschwanne Laufen Pro S Superflach, 1600 x 1000 x 34 mm, Mineralwerkstoff"
ALT,1425 577.171.000,1.0,"Duschwanne Laufen Pro S Superflach, 1600 x 1000 x 34 mm, Mineralwerkstoff"
,1425 561.000.000,1.0,"Siphon Laufen Pro S, für Duschwannen mit Sperrwasserhöhe 50 mm, ohne"
,1461 142.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,8 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 006.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,8 m, 2 Wannen-Eckdichtungen Butyl,"
,1425 568.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Pro S, Breite 900 mm, Länge 1400 - 1800"
,1311 201.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1425 550.536.000,1.0,"Duschwanne Laufen Pro S Superflach, 1400 x 800 x 32 mm, Mineralwerkstoff"
ALT,1425 550.841.000,1.0,"Duschwanne Laufen Pro S Superflach, 1400 x 800 x 32 mm, Mineralwerkstoff"
ALT,1425 550.136.000,1.0,"Duschwanne Laufen Pro S Superflach, 1400 x 800 x 32 mm, Mineralwerkstoff"
ALT,1425 550.171.000,1.0,"Duschwanne Laufen Pro S Superflach, 1400 x 800 x 32 mm, Mineralwerkstoff"
,1425 561.000.000,1.0,"Siphon Laufen Pro S, für Duschwannen mit Sperrwasserhöhe 50 mm, ohne"
,1461 002.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,5 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1425 563.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Pro S, Breite 800 mm, Länge 1000 - 1400"
,1311 200.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1425 553.536.000,1.0,"Duschwanne Laufen Pro S Superflach, 1500 x 900 x 34 mm, Mineralwerkstoff"
ALT,1425 553.841.000,1.0,"Duschwanne Laufen Pro S Superflach, 1500 x 900 x 34 mm, Mineralwerkstoff"
ALT,1425 553.136.000,1.0,"Duschwanne Laufen Pro S Superflach, 1500 x 900 x 34 mm, Mineralwerkstoff"
ALT,1425 553.171.000,1.0,"Duschwanne Laufen Pro S Superflach, 1500 x 900 x 34 mm, Mineralwerkstoff"
,1425 561.000.000,1.0,"Siphon Laufen Pro S, für Duschwannen mit Sperrwasserhöhe 50 mm, ohne"
