Typ,Artikelnummer,Menge,Bezeichnung
,1171 398.536.000,1.0,"Duschwanne Laufen Pro Superflach, 180 x 80 x 3,3 cm, auch für flächenbündigen"
ALT,1171 398.241.000,1.0,"Duschwanne Laufen Pro Superflach, 180 x 80 x 3,3 cm, auch für flächenbündigen"
ALT,1171 398.841.000,1.0,"Duschwanne Laufen Pro Superflach, 180 x 80 x 3,3 cm, auch für flächenbündigen"
ALT,1171 398.136.000,1.0,"Duschwanne Laufen Pro Superflach, 180 x 80 x 3,3 cm, auch für flächenbündigen"
ALT,1171 398.535.000,1.0,"Duschwanne Laufen Pro Superflach, 180 x 80 x 3,3 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 142.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,8 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 005.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,6 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 189.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 800 mm, 1400 - 1800 mm,"
,1311 201.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 365.536.000,1.0,"Duschwanne Laufen Pro Superflach, 120 x 90 x 3,3 cm, auch für flächenbündigen"
ALT,1171 365.241.000,1.0,"Duschwanne Laufen Pro Superflach, 120 x 90 x 3,3 cm, auch für flächenbündigen"
ALT,1171 365.841.000,1.0,"Duschwanne Laufen Pro Superflach, 120 x 90 x 3,3 cm, auch für flächenbündigen"
ALT,1171 365.136.000,1.0,"Duschwanne Laufen Pro Superflach, 120 x 90 x 3,3 cm, auch für flächenbündigen"
ALT,1171 365.535.000,1.0,"Duschwanne Laufen Pro Superflach, 120 x 90 x 3,3 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 002.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,5 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 191.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 900 mm, 1000 - 1400 mm,"
,1311 200.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 378.536.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 80 x 4,2 cm, auch für flächenbündigen"
ALT,1171 378.241.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 80 x 4,2 cm, auch für flächenbündigen"
ALT,1171 378.841.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 80 x 4,2 cm, auch für flächenbündigen"
ALT,1171 378.136.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 80 x 4,2 cm, auch für flächenbündigen"
ALT,1171 378.535.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 80 x 4,2 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 142.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,8 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 189.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 800 mm, 1400 - 1800 mm,"
,1311 201.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 356.536.000,1.0,"Duschwanne Laufen Pro Superflach, 120 x 120 x 3,3 cm, auch für flächenbündigen"
ALT,1171 356.241.000,1.0,"Duschwanne Laufen Pro Superflach, 120 x 120 x 3,3 cm, auch für flächenbündigen"
ALT,1171 356.841.000,1.0,"Duschwanne Laufen Pro Superflach, 120 x 120 x 3,3 cm, auch für flächenbündigen"
ALT,1171 356.136.000,1.0,"Duschwanne Laufen Pro Superflach, 120 x 120 x 3,3 cm, auch für flächenbündigen"
ALT,1171 356.535.000,1.0,"Duschwanne Laufen Pro Superflach, 120 x 120 x 3,3 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
