Typ,Artikelnummer,Menge,Bezeichnung
,1117 214.100.000,1.0,"Badewanne Alterna steel duo, 180 x 80 cm, Nutzinhalt 168 Liter, Tiefe 45 cm,"
ALT,1117 214.536.000,1.0,"Badewanne Alterna steel duo, 180 x 80 cm, Nutzinhalt 168 Liter, Tiefe 45 cm,"
,1411 322.501.000,1.0,"Ab- und Überlaufset Viega Visign M5, Drehrosette, Ventilkegel, zu"
OR,1411 342.501.000,1.0,"Ab- und Überlaufset Viega Visign MT5, Drehrosette, Überlaufrosette,"
,1411 312.000.000,1.0,"Wannengarnitur Viega Multiplex, Kabellänge 72,5 cm, Ablaufventil 1 ½"","
OR,1411 334.000.000,1.0,"Wannengarnitur Viega Multiplex Trio, Kabelzug 72,5 cm, mit Wanneneinlauf,"
,1461 005.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,6 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 700.000.000,1.0,"Badewannenträger Alterna, 1800 x 800 mm, Höhe 570 mm, Alterna steel duo,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,1431 191.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
,,,
,1117 215.100.000,1.0,"Badewanne Alterna steel duo, 190 x 90 cm, Nutzinhalt 228 Liter, Tiefe 45 cm,"
ALT,1117 215.536.000,1.0,"Badewanne Alterna steel duo, 190 x 90 cm, Nutzinhalt 228 Liter, Tiefe 45 cm,"
,1411 322.501.000,1.0,"Ab- und Überlaufset Viega Visign M5, Drehrosette, Ventilkegel, zu"
OR,1411 342.501.000,1.0,"Ab- und Überlaufset Viega Visign MT5, Drehrosette, Überlaufrosette,"
,1411 312.000.000,1.0,"Wannengarnitur Viega Multiplex, Kabellänge 72,5 cm, Ablaufventil 1 ½"","
OR,1411 334.000.000,1.0,"Wannengarnitur Viega Multiplex Trio, Kabelzug 72,5 cm, mit Wanneneinlauf,"
,1461 006.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,8 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 701.000.000,1.0,"Badewannenträger Alterna, 1900 x 900 mm, Höhe 570 mm, Alterna steel duo,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,1431 191.000.000,1.0,"Badewannen-Montageset Schmidlin, schallisoliert, Montagehöhe"
