Typ,Artikelnummer,Menge,Bezeichnung
,1113 339.105.000,1.0,"Badewanne Kaldewei Conoduo, 170 x 75 cm, Stahl, Schallisolierung, Weiss"
,1113 302.100.000,1.0,"Wannengarnitur Kaldewei Conoduo / Incava, Ablaufventil, Sifon,"
OR,1113 303.100.000,1.0,"Wanneneinlaufgarnitur Kaldewei Conoduo / Incava, Ablaufventil, Sifon,"
,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 520.000.000,1.0,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 570 mm, Kaldewei Conoduo,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,,,
,1113 341.105.000,1.0,"Badewanne Kaldewei Conoduo, 190 x 90 cm, Stahl, Schallisolierung, Weiss"
,1113 302.100.000,1.0,"Wannengarnitur Kaldewei Conoduo / Incava, Ablaufventil, Sifon,"
OR,1113 303.100.000,1.0,"Wanneneinlaufgarnitur Kaldewei Conoduo / Incava, Ablaufventil, Sifon,"
,1461 006.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,8 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 522.000.000,1.0,"Badewannenträger Schedel, 1900 x 900 mm, Höhe 570 mm, Kaldewei Conoduo,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,,,
,1113 340.105.000,1.0,"Badewanne Kaldewei Conoduo, 180 x 80 cm, Stahl, Schallisolierung, Weiss"
,1113 302.100.000,1.0,"Wannengarnitur Kaldewei Conoduo / Incava, Ablaufventil, Sifon,"
OR,1113 303.100.000,1.0,"Wanneneinlaufgarnitur Kaldewei Conoduo / Incava, Ablaufventil, Sifon,"
,1461 005.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,6 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 521.000.000,1.0,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 570 mm, Kaldewei Conoduo,"
,1441 791.000.000,2.0,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,1.0,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
