Typ,Artikelnummer,Menge,Bezeichnung
,1113 112.100.000,ST,"Badewanne Kaldewei Saniform Plus, 160 x 70 cm, Stahl, Schallisolierung, Weiss"
ALT,1113 112.105.000,ST,"Badewanne Kaldewei Saniform Plus, 160 x 70 cm, Stahl, Schallisolierung, Weiss"
,1411 122.501.000,ST,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,ST,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 004.000.000,ST,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 711.000.000,ST,"Badewannenträger Alterna, 160 x 70 cm, zu Alterna ecoform, Alterna steel uno,"
,1441 791.000.000,ST,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,ST,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,,,
,1113 111.100.000,ST,"Badewanne Kaldewei Saniform Plus, 150 x 70 cm, Stahl, Schallisolierung, Weiss"
ALT,1113 111.105.000,ST,"Badewanne Kaldewei Saniform Plus, 150 x 70 cm, Stahl, Schallisolierung, Weiss"
,1411 122.501.000,ST,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,ST,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 003.000.000,ST,"Zargen-Wannendichtband Alterna, Länge 3 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 517.000.000,ST,"Badewannenträger Schedel, 1500 x 700 mm, Höhe 555 mm, Kaldewei Saniform"
,1441 791.000.000,ST,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,ST,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,,,
,1113 113.100.000,ST,"Badewanne Kaldewei Saniform Plus, 170 x 70 cm, Stahl, Schallisolierung, Weiss"
ALT,1113 113.105.000,ST,"Badewanne Kaldewei Saniform Plus, 170 x 70 cm, Stahl, Schallisolierung, Weiss"
,1411 122.501.000,ST,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,ST,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 004.000.000,ST,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 712.000.000,ST,"Badewannenträger Schedel 1700 x 700 mm, 1700 x 700 mm, Höhe 555 mm, Kaldewei"
,1441 791.000.000,ST,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
,1441 782.000.000,ST,"Schallschutzset Alterna - Stahl, zu Badewannenträger bis 200 x 100 cm, für"
,,,
,1113 116.100.000,ST,"Badewanne Kaldewei Saniform Plus, 180 x 80 cm, Stahl, Schallisolierung, Weiss"
ALT,1113 116.105.000,ST,"Badewanne Kaldewei Saniform Plus, 180 x 80 cm, Stahl, Schallisolierung, Weiss"
,1411 122.501.000,ST,"Ab- und Überlaufset Geberit, Fertigbauset Ø 52 mm, für"
,1411 107.000.000,ST,"Wannengarnitur Geberit, Länge 14 - 28 cm, Ablaufventil 48 x 1/8"","
,1461 005.000.000,ST,"Zargen-Wannendichtband Alterna, Länge 3,6 m, 2 Wannen-Eckdichtungen Butyl,"
,1441 714.000.000,ST,"Badewannenträger Alterna, 180 x 80 cm, zu Alterna ecoform, Alterna steel uno,"
,1441 791.000.000,ST,"Montageschaum Alterna, zu Bade- und Duschenwannenträger, Kartusche 400 ml"
