ArtNr,Label,Brand,Size,Material,Form
1441 620.000.000,"Duschenwannenträger Schedel, 1600 x 1000 x 35 mm, Höhe 140 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 375.000.000,"Duschenwannenträger Schedel, 1200 x 1100 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 632.000.000,"Duschenwannenträger Schedel, 1000 x 900 x 65 mm, Höhe 170 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 667.000.000,"Duschenwannenträger Schedel, 1600 x 1000 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 395.000.000,"Duschenwannenträger Schedel, 1600 x 800 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 593.000.000,"Duschenwannenträger Schedel, 1000 x 800 x 65 mm, Höhe 170 mm, Kaldewei Duschplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 021.000.000,"Duschenwannenträger Schedel, 900 x 700 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 048.000.000,"Duschenwannenträger Schedel, 1500 x 700 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 585.000.000,"Duschenwannenträger Schedel, 1200 x 800 x 150 mm, Höhe 305 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 378.000.000,"Duschenwannenträger Schedel, 1300 x 750 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 603.000.000,"Duschenwannenträger Schedel, 900 x 800 x 25 mm, Höhe 140 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

