ArtNr,Label,Brand,Size,Material,Form
1445 733.000.000,"Duschenwannenträger Alterna loa, 1000 x 800 x 25 mm, Höhe 14 cm, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,100 x 80,,Rechteckig

1445 737.000.000,"Duschenwannenträger Alterna loa, 1200 x 900 x 25 mm, Höhe 14 cm, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,120 x 90,,Rechteckig

1445 734.000.000,"Duschenwannenträger Alterna loa, 1000 x 900 x 25 mm, Höhe 14 cm, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,100 x 90,,Rechteckig

1445 731.000.000,"Duschenwannenträger Alterna loa, 900 x 800 x 25 mm, Höhe 14 cm, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,90 x 80,,Rechteckig

1445 738.000.000,"Duschenwannenträger Alterna loa, 1400 x 800 x 25 mm, Höhe 14 cm, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,140 x 80,,Rechteckig

1445 735.000.000,"Duschenwannenträger Alterna loa, 1000 x 1000 x 25 mm, Höhe 14 cm, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,100 x 100,,Quadratisch

1445 732.000.000,"Duschenwannenträger Alterna loa, 900 x 900 x 25 mm, Höhe 14 cm, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,90 x 90,,Quadratisch

1445 736.000.000,"Duschenwannenträger Alterna loa, 1200 x 800 x 25 mm, Höhe 14 cm, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,120 x 80,,Rechteckig

1445 739.000.000,"Duschenwannenträger Alterna loa, 1400 x 900 x 25 mm, Höhe 14 cm, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,140 x 90,,Rechteckig

1445 730.000.000,"Duschenwannenträger Alterna loa, 800 x 800 x 25 mm, Höhe 14 cm, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1 Preisübersicht Unverbindliche Richtpreise Total1'298.00 geschätzte Transportkosten50.62 8.1 % MWSt109.22 Rundungsdifferenz0.01 Gesamtbetrag inkl. MwSt. in CHF 1'457.85 Preisänderung vorbehalten Unverbindliche Richtpreise Bei den Preisangaben handelt es sich um unverbindliche Richtpreise. Auf diese unverbindlichen Richtpreise gibt Sanitas Troesch den Installateur-Unternehmen individuelle Einkaufsrabatte. Die unverbindlichen Richtpreise sind für Installateur-Unternehmen nicht bindend. Die Installateur-Unternehmen legen die Verkaufspreise an ihre Kunden vollkommen frei und im eigenen Ermessen fest.",Alterna,80 x 80,,Quadratisch
