ArtNr,Label,Brand,Size,Material,Form
1111 548.100.000,"Duschenwanne Alterna loa 100 x 80 x 3 cm für bodenebene oder aufgesetzte Montage Ablaufloch Ø 90 mm Stahl Schallisolierung Weiss",Alterna,100 x 80,Stahl-Email,Rechteckig

1111 545.100.000,"Duschenwanne Alterna loa 80 x 80 x 3 cm für bodenebene oder aufgesetzte Montage Ablaufloch Ø 90 mm Stahl Schallisolierung Weiss",Alterna,80 x 80,Stahl-Email,Quadratisch

1111 550.100.000,"Duschenwanne Alterna loa 100 x 100 x 3 cm für bodenebene oder aufgesetzte Montage Ablaufloch Ø 90 mm Stahl Schallisolierung Weiss",Alterna,100 x 100,Stahl-Email,Quadratisch

1111 551.100.000,"Duschenwanne Alterna loa 120 x 80 x 3 cm für bodenebene oder aufgesetzte Montage Ablaufloch Ø 90 mm Stahl Schallisolierung Weiss",Alterna,120 x 80,Stahl-Email,Rechteckig

1111 549.100.000,"Duschenwanne Alterna loa 100 x 90 x 3 cm für bodenebene oder aufgesetzte Montage Ablaufloch Ø 90 mm Stahl Schallisolierung Weiss",Alterna,100 x 90,Stahl-Email,Rechteckig

1111 552.100.000,"Duschenwanne Alterna loa 120 x 90 x 3 cm für bodenebene oder aufgesetzte Montage Ablaufloch Ø 90 mm Stahl Schallisolierung Weiss",Alterna,120 x 90,Stahl-Email,Rechteckig

1111 546.100.000,"Duschenwanne Alterna loa 90 x 80 x 3 cm für bodenebene oder aufgesetzte Montage Ablaufloch Ø 90 mm Stahl Schallisolierung Weiss",Alterna,90 x 80,Stahl-Email,Rechteckig

1111 553.100.000,"Duschenwanne Alterna loa 140 x 80 x 3 cm für bodenebene oder aufgesetzte Montage Ablaufloch Ø 90 mm Stahl Schallisolierung Weiss",Alterna,140 x 80,Stahl-Email,Rechteckig

1111 547.100.000,"Duschenwanne Alterna loa 90 x 90 x 3 cm für bodenebene oder aufgesetzte Montage Ablaufloch Ø 90 mm Stahl Schallisolierung Weiss",Alterna,90 x 90,Stahl-Email,Quadratisch

1111 554.100.000,"Duschenwanne Alterna loa 140 x 90 x 3 cm für bodenebene oder aufgesetzte Montage Ablaufloch Ø 90 mm Stahl Schallisolierung Weiss",Alterna,140 x 90,Stahl-Email,Rechteckig
