ArtNr,Label,Brand,Size,Material,Form
1171 398.536.000,"Duschenwanne Laufen Pro Superflach 180 x 80 x 3,3 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,180 x 80,Stahl-Email,Rechteckig

1171 365.536.000,"Duschenwanne Laufen Pro Superflach, 120 x 90 x 3,3 cm, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar, Ablaufloch Ø 90 mm, Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,120 x 90,Stahl-Email,Rechteckig

1171 378.536.000,"Duschenwanne Laufen Pro Superflach 160 x 80 x 4,2 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Schmalseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,160 x 80,Stahl-Email,Rechteckig

1171 356.536.000,"Duschenwanne Laufen Pro Superflach, 120 x 120 x 3,3 cm, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar, Ablaufloch Ø 90 mm, Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,120 x 120,Stahl-Email,Quadratisch

1171 360.536.000,"Duschenwanne Laufen Pro Superflach 100 x 90 x 3,3 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Schmalseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,100 x 90,Stahl-Email,Rechteckig

1171 402.536.000,"Duschenwanne Laufen Pro Superflach 200 x 100 x 3,6 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,200 x 100,Stahl-Email,Rechteckig

1171 392.536.000,"Duschenwanne Laufen Pro Superflach 160 x 75 x 3,2 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,160 x 75,Stahl-Email,Rechteckig

