ArtNr,Label,Brand,Size,Material,Form
1313 567.100.000,"Duschwanne Kaldewei Superplan Zero, 90 x 90 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,90 x 90,Stahl-Email,Quadratisch

1313 601.100.000,"Duschwanne Kaldewei Superplan Zero, 150 x 150 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,150 x 150,Stahl-Email,Quadratisch

1313 613.100.000,"Duschwanne Kaldewei Superplan Zero, 90 x 180 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,180 x 90,Stahl-Email,Rechteckig

1313 598.100.000,"Duschwanne Kaldewei Superplan Zero, 80 x 150 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,150 x 80,Stahl-Email,Rechteckig

1313 592.100.000,"Duschwanne Kaldewei Superplan Zero, 75 x 140 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,140 x 75,Stahl-Email,Rechteckig

1313 574.100.000,"Duschwanne Kaldewei Superplan Zero, 75 x 110 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,110 x 75,Stahl-Email,Rechteckig

1313 583.100.000,"Duschwanne Kaldewei Superplan Zero, 100 x 120 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 100,Stahl-Email,Rechteckig

1313 580.100.000,"Duschwanne Kaldewei Superplan Zero, 75 x 120 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 75,Stahl-Email,Rechteckig

1313 575.100.000,"Duschwanne Kaldewei Superplan Zero, 80 x 110 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,110 x 80,Stahl-Email,Rechteckig

1313 595.100.000,"Duschwanne Kaldewei Superplan Zero, 100 x 140 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,140 x 100,Stahl-Email,Rechteckig

1313 584.100.000,"Duschwanne Kaldewei Superplan Zero, 110 x 120 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 110,Stahl-Email,Rechteckig

1313 585.100.000,"Duschwanne Kaldewei Superplan Zero, 120 x 120 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 120,Stahl-Email,Quadratisch

1313 581.100.000,"Duschwanne Kaldewei Superplan Zero, 80 x 120 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 80,Stahl-Email,Rechteckig

1313 576.100.000,"Duschwanne Kaldewei Superplan Zero, 90 x 110 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,110 x 90,Stahl-Email,Rechteckig

