ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
6114 604.501.000,"Bademischer KWC Zoe- Standmodell, A 215 mm, Höhe 908 - 1004 mm, Brauseschlauch, Handbrause, Montage neben Badewanne, Durchflussleistung Wanneneinlauf 24,6 l/min., Durchflussleistung Handbrause 6,8 l/min., ohne Einbaukörper 6118 128 Energieeffizienzklasse B Geräuschgruppe II Verchromt",Andere,,,,

6111 804.501.000,"Bademischer KWC Bevo- Standmodell, A 215 mm, Höhe 915 - 1011 mm, Brauseschlauch, Handbrause, Montage neben Badewanne, Durchflussleistung Wanneneinlauf 22 l/min., Durchflussleistung Handbrause 11,5 l/min., ohne Einbaukörper 6118 128 Energieeffizienzklasse B Geräuschgruppe II Verchromt",Andere,,,,

6111 134.501.000,"Bademischer KWC Ora- Standmodell, A 229 mm, Höhe 821 - 917 mm, Brauseschlauch 1500 mm, Handbrause KWC Fit- X slim style, Montage neben Badewanne, Durchflussleistung Wanneneinlauf 22 l/min., Durchflussleistung Handbrause 11,5 l/min., ohne Einbaukörper 6118 128 Energieeffizienzklasse B Geräuschgruppe II Verchromt",Andere,,,,

6113 976.501.000,"Bademischer KWC Ono E- Standmodell, A 246 mm, Höhe 1024 mm, Brauseschlauch, Handbrause, Montage neben Badewanne, Durchflussleistung Wanneneinlauf 21 l/min., Durchflussleistung Handbrause 12 l/min., ohne Einbaukörper 6118 128 Energieeffizienzklasse B Geräuschgruppe II Verchromt",Andere,,,,

6111 204.501.000,"Bademischer KWC Domo 6.0- Standmodell, A 250 mm, Höhe 908 - 1004 mm, Brauseschlauch, Handbrause, Montage neben Badewanne, Durchflussleistung Wanneneinlauf 24,6 l/min., Durchflussleistung Handbrause 6,8 l/min., ohne Einbaukörper 6118 128 Energieeffizienzklasse B Geräuschgruppe II Verchromt",Andere,,,,

6113 204.501.000,"Bademischer KWC Ava 2.0- Standmodell, A 250 mm, Höhe 903 - 999 mm, Brauseschlauch, Handbrause, Montage neben Badewanne, Durchflussleistung Wanneneinlauf 24,6 l/min., Durchflussleistung Handbrause 6,8 l/min., ohne Einbaukörper 6118 128 Energieeffizienzklasse B Geräuschgruppe II Verchromt Preisübersicht Unverbindliche Richtpreise Total11'710.00 geschätzte Transportkosten456.68 8.1 % MWSt985.51 Rundungsdifferenz 0.01 Gesamtbetrag inkl. MwSt. in CHF 13'152.20 Preisänderung vorbehalten",Andere,,,,
