ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1111 258.100.000,"Badewanne Schmidlin Norm Classic mit Loch, 160 x 70 cm, Ablauf und Loch rechts, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss",Schmidlin,160 x 70,,,
,,,,,,
1111 264.100.000,"Badewanne Schmidlin Norm Classic mit Loch, 170 x 70 cm, Ablauf und Loch rechts, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss",Schmidlin,170 x 70,,,
,,,,,,
1111 251.100.000,"Badewanne Schmidlin Norm Classic mit Loch, 140 x 70 cm, Tiefe 44 cm, Ablauf und Loch links, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss",Schmidlin,140 x 70,,,
,,,,,,
1111 263.100.000,"Badewanne Schmidlin Norm Classic mit Loch, 170 x 70 cm, Ablauf und Loch links, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss",Schmidlin,170 x 70,,,
,,,,,,
1111 262.100.000,"Badewanne Schmidlin Norm Classic mit Loch, 168 x 70 cm, Ablauf und Loch rechts, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss",Schmidlin,168 x 70,,,
,,,,,,
1111 261.100.000,"Badewanne Schmidlin Norm Classic mit Loch, 168 x 70 cm, Ablauf und Loch links, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss",Schmidlin,168 x 70,,,
,,,,,,
1111 252.100.000,"Badewanne Schmidlin Norm Classic mit Loch, 140 x 70 cm, Tiefe 44 cm, Ablauf und Loch rechts, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss",Schmidlin,140 x 70,,,
,,,,,,
1111 253.100.000,"Badewanne Schmidlin Norm Classic mit Loch, 150 x 70 cm, Tiefe 44 cm, Ablauf und Loch links, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss",Schmidlin,150 x 70,,,
,,,,,,
1111 257.100.000,"Badewanne Schmidlin Norm Classic mit Loch, 160 x 70 cm, Ablauf und Loch links, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss",Schmidlin,160 x 70,,,
,,,,,,
1111 254.100.000,"Badewanne Schmidlin Norm Classic mit Loch, 150 x 70 cm, Tiefe 44 cm, Ablauf und Loch rechts, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss",Schmidlin,150 x 70,,,
