Tray ArtNr,Tray Label,Accessory ArtNr,Accessory Label,Category,In Pool
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1422 118.501.000","ablaufdeckel geberit, zu duschwannenablauf ø 90 mm (1422 117),","ablaufdeckel",YES
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1422 225.501.000","ablaufdeckel zu tempoplex / contura, zu duschenwannengarnitur tempoplex /-","ablaufdeckel",YES
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1422 221.000.000","duschwannengarnitur tempoplex, ablaufbogen ø 40/50 mm, für duschwannen","ablaufgarnitur",NO
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1445 726.000.000","duschwannenträger alterna ecoplan, 800 x 800 x 35 mm, ecoplan, kaldewei","wannentraeger",YES
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1441 791.000.000","montageschaum alterna, zu bade- und duschenwannenträger, kartusche 400 ml","wannentraeger",YES
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1441 792.000.000","pu-kleber mdi-frei alterna, mdi-frei, kartusche 290 ml, (zu wannenträger 1441","wannentraeger",YES
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1445 782.000.000","schallschutzset alterna - stahl, zu duschenwannenträger bis 2000 x 1000 mm,","wannentraeger",YES
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1435 264.000.000","montagerahmen schmidlin, 80 x 80 cm, für duschwannen quadratisch /","montagerahmen",YES
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1435 105.000.000","montagerahmen schmidlin omnia, 80 x 80 cm, für alle schmidlin duschenwannen,","montagerahmen",YES
"1311 407.100.000","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","1311 407.100.181","Duschwanne Schmidlin, 80 x 80 x 3,5 cm, Stahl, Schallisolierung, Ablaufloch Ø","others",NO
