ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1313 150.100.185,"Duschwanne Kaldewei Calima, 800 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 453.100.000,"Duschwanne Kaldewei Superplan, 70 x 150 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,150 x 2.5,,,

1313 156.100.185,"Duschwanne Kaldewei Calima, 1000 x 750 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 461.100.184,"Duschwanne Kaldewei Superplan, 90 x 160 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,160 x 2.5,,,

1313 474.100.810,"Duschwanne Kaldewei Cayonoplan, 80 x 110 x 1,8 cm, Stahl, Schallisolierung Weiss Standard",Kaldewei,110 x 1.8,,,

1313 175.100.185,"Duschwanne Kaldewei Calima, 1400 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 188.100.185,"Duschwanne Kaldewei Calima, 1700 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 121.100.183,"Duschwanne Kaldewei Sanidusch, 80 x 80 x 14 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Antislip",Kaldewei,80 x 14,,,

1313 112.100.000,"Duschwanne Kaldewei Duschplan, 90 x 90 x 6,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,90 x 6.5,,,

1313 171.100.185,"Duschwanne Kaldewei Calima, 1300 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 311.100.000,"Duschwanne Kaldewei Superplan Classic, 90 x 90 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,90 x 2.5,,,

1313 151.100.185,"Duschwanne Kaldewei Calima, 900 x 700 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 258.100.184,"Duschwanne Kaldewei Conoflat, 90 x 150 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,150 x 3.2,,,

1313 116.100.183,"Duschwanne Kaldewei Duschplan, 80 x 90 x 6,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Antislip",Kaldewei,90 x 6.5,,,

1313 162.100.185,"Duschwanne Kaldewei Calima, 1100 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 193.100.185,"Duschwanne Kaldewei Calima, 1800 x 900 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 567.100.184,"Duschwanne Kaldewei Superplan Zero, 90 x 90 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,90 x 2,,,

1313 247.100.000,"Duschwanne Kaldewei Conoflat, 90 x 110 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,110 x 3.2,,,

1313 406.100.185,"Duschwanne Kaldewei Cayonoplan, 80 x 100 x 1,8 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,100 x 1.8,,,

1313 601.100.185,"Duschwanne Kaldewei Superplan Zero, 150 x 150 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,150 x 2,,,

1313 111.100.000,"Duschwanne Kaldewei Duschplan, 80 x 80 x 6,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,80 x 6.5,,,

1313 449.100.184,"Duschwanne Kaldewei Superplan, 75 x 140 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,140 x 2.5,,,

1313 613.100.000,"Duschwanne Kaldewei Superplan Zero, 90 x 180 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,180 x 2,,,

1313 598.100.185,"Duschwanne Kaldewei Superplan Zero, 80 x 150 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,150 x 2,,,

1313 592.100.185,"Duschwanne Kaldewei Superplan Zero, 75 x 140 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,140 x 2,,,

1313 494.100.810,"Duschwanne Kaldewei Cayonoplan, 100 x 160 x 2,5 cm, Stahl, Schallisolierung Weiss Standard",Kaldewei,160 x 2.5,,,

1313 497.100.185,"Duschwanne Kaldewei Cayonoplan, 80 x 180 x 2,5 cm, Stahl, Schallisolierung Weiss Gleitschutz Invisible Grip",Kaldewei,180 x 2.5,,,

1313 163.100.185,"Duschwanne Kaldewei Calima, 1100 x 900 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 401.100.185,"Duschwanne Kaldewei Cayonoplan, 80 x 80 x 1,8 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,80 x 1.8,,,

1313 246.100.185,"Duschwanne Kaldewei Conoflat, 80 x 110 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,110 x 3.2,,,

1313 159.100.185,"Duschwanne Kaldewei Calima, 1000 x 1000 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 315.100.183,"Duschwanne Kaldewei Superplan Classic, 90 x 100 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Antislip",Kaldewei,100 x 2.5,,,

1313 181.100.185,"Duschwanne Kaldewei Calima, 1500 x 900 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 444.100.000,"Duschwanne Kaldewei Superplan, 90 x 120 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 2.5,,,

1313 135.100.000,"Duschwanne Kaldewei Duschplan, 90 x 100 x 6,5 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts Umweltdeklaration EPD Weiss",Kaldewei,100 x 6.5,,,

1313 574.100.185,"Duschwanne Kaldewei Superplan Zero, 75 x 110 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,110 x 2,,,

1313 110.100.183,"Duschwanne Kaldewei Duschplan, 80 x 75 x 6,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Antislip",Kaldewei,75 x 6.5,,,

1313 430.100.184,"Duschwanne Kaldewei Superplan, 75 x 80 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,80 x 2.5,,,

1313 257.100.000,"Duschwanne Kaldewei Conoflat, 100 x 140 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,140 x 3.2,,,

1313 333.100.000,"Duschwanne Kaldewei Superplan Classic, 140 x 90 x 4,3 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,90 x 4.3,,,

1313 443.100.000,"Duschwanne Kaldewei Superplan, 80 x 120 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 2.5,,,

1313 583.100.185,"Duschwanne Kaldewei Superplan Zero, 100 x 120 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,120 x 2,,,

1313 580.100.185,"Duschwanne Kaldewei Superplan Zero, 75 x 120 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,120 x 2,,,

1313 466.100.184,"Duschwanne Kaldewei Superplan, 90 x 170 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,170 x 2.5,,,

1313 575.100.185,"Duschwanne Kaldewei Superplan Zero, 80 x 110 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,110 x 2,,,

1313 122.100.183,"Duschwanne Kaldewei Sanidusch, 90 x 90 x 14 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Antislip",Kaldewei,90 x 14,,,

1313 248.100.000,"Duschwanne Kaldewei Conoflat, 80 x 120 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 3.2,,,

1313 414.100.000,"Duschwanne Kaldewei Cayonoplan, 80 x 130 x 2,5 cm, Stahl, Schallisolierung Weiss",Kaldewei,130 x 2.5,,,

1313 495.100.184,"Duschwanne Kaldewei Cayonoplan, 80 x 170 x 2,5 cm, Stahl, Schallisolierung Weiss Gleitschutz Secure Plus",Kaldewei,170 x 2.5,,,

1313 477.100.185,"Duschwanne Kaldewei Cayonoplan, 90 x 130 x 2,5 cm, Stahl, Schallisolierung Weiss Gleitschutz Invisible Grip",Kaldewei,130 x 2.5,,,

1313 475.100.810,"Duschwanne Kaldewei Cayonoplan, 70 x 120 x 1,8 cm, Stahl, Schallisolierung Weiss Standard",Kaldewei,120 x 1.8,,,

1313 241.100.000,"Duschwanne Kaldewei Conoflat, 80 x 90 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,90 x 3.2,,,

1313 313.100.183,"Duschwanne Kaldewei Superplan Classic, 120 x 120 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Antislip",Kaldewei,120 x 2.5,,,

1313 595.100.185,"Duschwanne Kaldewei Superplan Zero, 100 x 140 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,140 x 2,,,

1313 446.100.184,"Duschwanne Kaldewei Superplan, 120 x 120 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,120 x 2.5,,,

1313 584.100.185,"Duschwanne Kaldewei Superplan Zero, 110 x 120 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,120 x 2,,,

