ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1311 872.100.000,"Duschenwanne Schmidlin Viva, 140 x 90 x 2,5 cm, für bodenebene Montage, Ablaufloch Ø 90 mm, Schallisolierung, Stahl Weiss",Andere,90 x 2.5,,,

1311 865.100.000,"Duschenwanne Schmidlin Viva 110 x 80 x 2,5 cm Ablaufloch Ø 90 mm bodenebene Montage Schallisolierung, Stahl Weiss",Andere,80 x 2.5,,,

1311 876.100.000,"Duschenwanne Schmidlin Viva, 150 x 100 x 2,5 cm, für bodenebene Montage, Ablaufloch Ø 90 mm, Schallisolierung, Stahl Weiss",Andere,100 x 2.5,,,

1311 880.100.000,"Duschenwanne Schmidlin Viva 160 x 100 x 2,5 cm Ablaufloch Ø 90 mm bodenebene Montage Schallisolierung, Stahl Weiss",Andere,100 x 2.5,,,

1311 866.100.000,"Duschenwanne Schmidlin Viva 110 x 90 x 2,5 cm Ablaufloch Ø 90 mm bodenebene Montage Schallisolierung, Stahl Weiss",Andere,90 x 2.5,,,

1311 879.100.000,"Duschenwanne Schmidlin Viva 160 x 80 x 2,5 cm Ablaufloch Ø 90 mm bodenebene Montage Schallisolierung, Stahl Weiss",Andere,80 x 2.5,,,

1311 871.100.000,"Duschenwanne Schmidlin Viva 130 x 100 x 2,5 cm Ablaufloch Ø 90 mm bodenebene Montage Schallisolierung, Stahl Weiss",Andere,100 x 2.5,,,

1311 884.100.000,"Duschenwanne Schmidlin Viva 170 x 90 x 2,5 cm Ablaufloch Ø 90 mm bodenebene Montage Schallisolierung, Stahl Weiss",Andere,90 x 2.5,,,

1311 873.100.000,"Duschenwanne Schmidlin Viva, 140 x 100 x 2,5 cm, für bodenebene Montage, Ablaufloch Ø 90 mm, Schallisolierung, Stahl Weiss",Andere,100 x 2.5,,,

1311 863.100.000,"Duschenwanne Schmidlin Viva, 100 x 90 x 2,5 cm, für bodenebene Montage, Ablaufloch Ø 90 mm, Schallisolierung, Stahl Weiss",Andere,90 x 2.5,,,

1311 874.100.000,"Duschenwanne Schmidlin Viva, 140 x 120 x 2,5 cm, für bodenebene Montage, Ablaufloch Ø 90 mm, Schallisolierung, Stahl Weiss",Andere,120 x 2.5,,,

1311 891.100.000,"Duschenwanne Schmidlin Viva 180 x 100 x 2,5 cm Ablaufloch Ø 90 mm bodenebene Montage Schallisolierung, Stahl Weiss",Andere,100 x 2.5,,,

1311 861.100.000,"Duschenwanne Schmidlin Viva, 90 x 90 x 2,5 cm, für bodenebene Montage, Ablaufloch Ø 90 mm, Schallisolierung, Stahl Weiss",Andere,90 x 2.5,,,

1311 867.100.000,"Duschenwanne Schmidlin Viva, 120 x 80 x 2,5 cm, für bodenebene Montage, Ablaufloch Ø 90 mm, Schallisolierung, Stahl Weiss",Andere,80 x 2.5,,,

1311 862.100.000,"Duschenwanne Schmidlin Viva, 100 x 80 x 2,5 cm, für bodenebene Montage, Ablaufloch Ø 90 mm, Schallisolierung, Stahl Weiss",Andere,80 x 2.5,,,

1311 883.100.000,"Duschenwanne Schmidlin Viva 160 x 120 x 2,5 cm Ablaufloch Ø 90 mm bodenebene Montage Schallisolierung, Stahl Weiss",Andere,120 x 2.5,,,

1311 890.100.000,"Duschenwanne Schmidlin Viva 180 x 90 x 2,5 cm Ablaufloch Ø 90 mm bodenebene Montage Schallisolierung, Stahl Weiss",Andere,90 x 2.5,,,

1311 864.100.000,"Duschenwanne Schmidlin Viva, 100 x 100 x 2,5 cm, für bodenebene Montage, Ablaufloch Ø 90 mm, Schallisolierung, Stahl Weiss",Andere,100 x 2.5,,,

1311 877.100.000,"Duschenwanne Schmidlin Viva, 160 x 90 x 2,5 cm, für bodenebene Montage, Ablaufloch Ø 90 mm, Schallisolierung, Stahl Weiss",Andere,90 x 2.5,,,

1311 870.100.000,"Duschenwanne Schmidlin Viva 130 x 90 x 2,5 cm Ablaufloch Ø 90 mm bodenebene Montage Schallisolierung, Stahl Weiss",Andere,90 x 2.5,,,

1311 875.100.000,"Duschenwanne Schmidlin Viva, 150 x 90 x 2,5 cm, für bodenebene Montage, Ablaufloch Ø 90 mm, Schallisolierung, Stahl Weiss",Andere,90 x 2.5,,,

1311 868.100.000,"Duschenwanne Schmidlin Viva, 120 x 90 x 2,5 cm, für bodenebene Montage, Ablaufloch Ø 90 mm, Schallisolierung, Stahl Weiss",Andere,90 x 2.5,,,

1311 878.100.000,"Duschenwanne Schmidlin Viva 140 x 80 x 2,5 cm Ablaufloch Ø 90 mm bodenebene Montage Schallisolierung, Stahl Weiss",Andere,80 x 2.5,,,

1311 869.100.000,"Duschenwanne Schmidlin Viva, 120 x 100 x 2,5 cm, für bodenebene Montage, Ablaufloch Ø 90 mm, Schallisolierung, Stahl Weiss",Andere,100 x 2.5,,,

1311 630.100.000,"Duschenwanne Schmidlin Floor, 140 x 100 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,100 x 2.5,,,

1311 639.100.000,"Duschenwanne Schmidlin Floor, 170 x 80 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,80 x 2.5,,,

1311 609.100.000,"Duschenwanne Schmidlin Floor, 90 x 80 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,80 x 2.5,,,

1311 601.100.000,"Duschenwanne Schmidlin Floor, 80 x 80 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,80 x 2.5,,,

1311 618.100.000,"Duschenwanne Schmidlin Floor, 110 x 90 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,90 x 2.5,,,

1311 607.100.000,"Duschenwanne Schmidlin Floor, 90 x 70 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,70 x 2.5,,,

1311 612.100.000,"Duschenwanne Schmidlin Floor, 100 x 100 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,100 x 2.5,,,

1311 628.100.000,"Duschenwanne Schmidlin Floor, 140 x 80 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,80 x 2.5,,,

1311 608.100.000,"Duschenwanne Schmidlin Floor, 90 x 75 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,75 x 2.5,,,

1311 626.100.000,"Duschenwanne Schmidlin Floor, 130 x 90 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,90 x 2.5,,,

1311 611.100.000,"Duschenwanne Schmidlin Floor, 90 x 90 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,90 x 2.5,,,

1311 623.100.000,"Duschenwanne Schmidlin Floor, 120 x 100 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,100 x 2.5,,,

1311 616.100.000,"Duschenwanne Schmidlin Floor, 100 x 90 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,90 x 2.5,,,

