Article Number,Label,Manufacturer,Size
"1117 159.100.000","Badewanne Alterna ecoform, 180 x 80 x 43 cm, Nutzinhalt 150 Liter, Stahl, Schallisolierung Weiss","Alterna","80 x 43"
"1117 158.100.000","Badewanne Alterna ecoform, 170 x 75 x 41 cm, Nutzinhalt 123 Liter, Stahl, Schallisolierung Weiss","Alterna","75 x 41"
"1117 156.100.000","Badewanne Alterna ecoform, 160 x 75 x 41 cm, Nutzinhalt 107 Liter, Stahl, Schallisolierung Weiss","Alterna","75 x 41"
"1117 155.100.000","Badewanne Alterna ecoform, 160 x 70 x 41 cm, Nutzinhalt 93 Liter, Stahl, Schallisolierung Weiss","Alterna","70 x 41"
"1117 214.100.000","Badewanne Alterna steel duo, 180 x 80 cm, Nutzinhalt 168 Liter, Tiefe 45 cm, Stahl, Schallisolierung Weiss","Alterna","180 x 80"
"1117 215.100.000","Badewanne Alterna steel duo, 190 x 90 cm, Nutzinhalt 228 Liter, Tiefe 45 cm, Stahl, Schallisolierung Weiss","Alterna","190 x 90"
"1117 240.100.000","Badewanne Alterna steel uno, 180 x 80 x 41 cm, Nutzinhalt 171 Liter, Stahl, Schallisolierung Weiss","Alterna","80 x 41"
"1117 239.100.000","Badewanne Alterna steel uno, 170 x 75 x 41 cm, Nutzinhalt 136 Liter, Stahl, Schallisolierung Weiss","Alterna","75 x 41"
"1117 238.100.000","Badewanne Alterna steel uno, 170 x 70 x 41 cm, Nutzinhalt 110 Liter, Stahl, Schallisolierung Weiss","Alterna","70 x 41"
"1117 237.100.000","Badewanne Alterna steel uno, 160 x 70 x 41 cm, Nutzinhalt 107 Liter, Stahl, Schallisolierung Weiss","Alterna","70 x 41"
"1117 207.100.000","Badewanne Alterna steel zero mit zwei Rückenschrägen 170 x 80 cm, Tiefe 42 cm Stahl, Schallisolierung Nutzinhalt 161 Liter Weiss","Alterna","170 x 80"
"1117 209.100.000","Badewanne Alterna steel zero mit zwei Rückenschrägen 190 x 90 cm, Tiefe 42 cm Stahl, Schallisolierung Nutzinhalt 235 Liter Weiss","Alterna","190 x 90"
