ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1411 556.501.000,"Badewannengarnitur Kaldewei Comfort- Level, Verlängert (KA 4002), mit Ab- und Überlauf- Set Verchromt",Kaldewei,,,mit,

1411 576.501.000,"Badewannengarnitur Kaldewei Comfort- Level Plus, Verlängert (KA 4012), mit Wannenfüllfunktion bei Überlauf, Ab- und Überlauf- Set, (Montage mit Rohrunterbrecher) Verchromt",Kaldewei,,,mit,

1411 551.501.000,"Badewannengarnitur Kaldewei Comfort- Level, Standard (KA 4001), mit Ab- und Überlauf- Set Verchromt",Kaldewei,,,mit,

1411 571.501.000,"Badewannengarnitur Kaldewei Comfort- Level Plus, Standard (KA 4011), mit Wannenfüllfunktion bei Überlauf, Ab- und Überlauf- Set, (Montage mit Rohrunterbrecher) Verchromt",Kaldewei,,,mit,

1411 109.000.000,"Wannengarnitur Geberit, Länge 14 - 76 cm, Ablaufventil 48 x 1/8"", Exzenterbetätigung, Sifon, Ablaufbogen Ø 56 mm, ohne Ab- und Überlaufset",Geberit,,,mit,

1411 108.000.000,"Wannengarnitur Geberit, Länge 14 - 52 cm, Ablaufventil 48 x 1/8"", Exzenterbetätigung, Sifon, Ablaufbogen Ø 56 mm, ohne Ab- und Überlaufset",Geberit,,,mit,

1128 281.501.000,"Ab- und Überlaufset Villeroy & Boch, 200 x 315 x 130 mm, Push- Open Verchromt",Villeroy & Boch,,,mit,

1128 282.501.000,"Wanneneinlaufgarnitur Villeroy & Boch, 200 x 465 x 130 mm, mit Ab- und Überlaufset, Push- Open Verchromt",Villeroy & Boch,,,mit,

1441 783.000.000,"Schallschutz- Set Schedel, für Kunststoff Badewannen bis 2000 x 1000 mm, 1 x Glaswollmatte 1200 x 600 mm, 2 x Glaswollmatte 600 x 600 mm, 1 x Vlies 1000 x 400 mm, 1 x Gummigranulatmatte 1000 x 400 mm, 10 x Wandabstandshalter, 10 x Befestigungs- Nägel (zur Montage auf Betonboden)",Andere,,,,

1124 130.000.000,"Badewannenfüsse Duscholux Piccolo, verstellbar, Satz 2 Stück",Andere,,,,

1411 610.501.000,"Wannengarnitur Hoesch-Combi Ablaufventil 1 1/2"", Sifon Verchromt",Andere,,,,

1124 209.501.000,"Wanneneinlaufgarnitur Duscholux, mit Ab- und Überlauf- Set, zu Badewanne Step- in Pure Verchromt",Andere,,,mit,

1113 397.100.000,"Wannengarnitur Kaldewei Asymmetric Duo, Ablaufventil, Sifon, Ablaufdeckel und Überlaufknauf emailliert Weiss",Kaldewei,,,mit,

1113 398.100.000,"Wanneneinlaufgarnitur Kaldewei Asymmetric Duo, Ablaufventil, Sifon, Ablaufdeckel und Überlaufknauf emailliert (Montage mit Rohrunterbrecher) Weiss",Kaldewei,,,mit,

1111 296.000.000,"Badewannenträger Schmidlin Infinity, mit Dichtband 4 m, 2 Dichtecken, Schallschutzband, Distanzband, Schnittschutz 4 m",Andere,,,,

1431 195.000.000,"Badewannen Montageset Schmidlin, schallisoliert, verstellbar, Montagehöhe 56 cm ab Rohboden, Wannenanker, zu Schmidlin Sitz",Andere,,,,

1441 746.000.000,"Badewannenträger Alterna, 170 x 75 cm, Rückenteil rechts, zu 1117 253, zu Alterna steel set, Überlauf vorne, Höhe 57 cm, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,170 x 75,,mit,

1124 757.501.000,"Wannengarnitur Duravit Qudroval, mit Wanneneinlauf und Ab- und Überlauf-Set zu Badewannen PuraVida/Starck/ Paiova /P3 Comforts 1124 619,665,667,669,678 1167 311-322 (Montage mit Rohrunterbrecher) Verchromt",Duravit,,,mit,

1124 724.501.000,"Wannengarnitur Duravit, Ab- und Überlauf, mit Ab- und Überlauf- Set, mit Quadroval Drehgriff, Bowdenzuglänge 850 mm, zu Badewannen Starck/Paiova/Paiova 5 Verchromt",Duravit,,,mit,

1431 820.000.000,"Fussgestell Duravit für Bade- und Duschenwannen bei Seitenlänge bis 100 cm",Duravit,,,,

1451 141.000.000,"Wannenleisten-Set MEPA schallisoliert, Satz à 2 Stück zu je 70 cm, 2 Klemmbügel für Bade- und Duschwannen Stahl / Kunststoff Befestigungsmaterial",Andere,,,,

