Type,Manufacturer,Article Number,Size,Label
"Badewanne","Schmidlin","1111 112.100.000","160 x 75","Badewanne Schmidlin Norm Classic, 160 x 75 cm, Tiefe 45 cm, Stahl, Schallisolierung Weiss"
"Badewanne","Schmidlin","1111 115.100.000","175 x 70","Badewanne Schmidlin Norm Classic, 175 x 70 cm, Tiefe 45 cm, Stahl, Schallisolierung Weiss"
"Badewanne","Schmidlin","1111 116.100.000","175 x 75","Badewanne Schmidlin Norm Classic, 175 x 75 cm, Tiefe 45 cm, Stahl, Schallisolierung Weiss"
"Badewanne","Schmidlin","1111 111.100.000","170 x 80","Badewanne Schmidlin Norm Classic 170 x 80 Tiefe 45 cm Schallisolierung, Stahl Weiss"
"Badewanne","Schmidlin","1111 118.100.000","190 x 80","Badewanne Schmidlin Norm Classic 190 x 80 cm Tiefe 45 cm Schallisolierung, Stahl Weiss"
"Badewanne","Schmidlin","1111 143.100.000","194 x 78","Badewanne Schmidlin Norm Classic Vario, 185 - 194 x 78 - 84 x 45 cm, Stahl, Schallisolierung, (Masse in 1 cm Schritten frei wählbar) Weiss"
"Badewanne","Schmidlin","1111 161.100.000","170 x 75","Badewanne Schmidlin Amena 170 x 75 Tiefe 42 cm Stahl, Schallisolierung Weiss"
"Badewanne","Schmidlin","1111 280.100.000","170 x 80","Badewanne Schmidlin Sola 170 x 80 cm, Tiefe 45 cm Schallisolierung, Stahl Weiss"
"Badewanne","Schmidlin","1111 174.100.000","180 x 80","Badewanne Schmidlin Ona 180 x 80 Tiefe 42 cm Stahl, Schallisolierung Weiss"
"Badewanne","Schmidlin","1111 247.100.000","180 x 80","Badewanne Schmidlin Norm Classic mit Zargen, 180 x 80 cm, Ablauf links, Zargen vorne und links, Stahl, Schallisolierung, Tiefe 45 cm Weiss"
"Badewanne","Schmidlin","1111 235.100.000","170 x 70","Badewanne Schmidlin Norm Classic mit Zargen, 170 x 70 cm, Ablauf links, Zarge vorne, Stahl, Schallisolierung, Tiefe 45 cm Weiss"
