ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1424 960.617.000,"Duschrinne Hansgrohe RainDrain Flex, 90 cm kürzbar, Rostbreite 76 mm, zur Wandmontage, Fertigset bestehend aus Designabdeckung mit herausnehmbarem Einsatz, Dryphon, Abdeckungsheber integriert, vor Ort kürzbar, höhenverstellbar um 10 mm, bis zu 60 l/min Ablaufleistung, mit integriertem Gefälle Edelstahl gebürstet",Andere,,,,

1424 343.617.000,"Duschrinne Hansgrohe Raindrain Original, Breite 80 cm, Fertigset bestehend aus: Installationsset, Dryphon, Abdeckungsheber, Dichtflies, Designabdeckung mit herausnehmbarem Einsatz Dryphon, höhenverstellbar um 10 mm, Ablaufleistung 49 l/min Fliesenstärke: bis 18 mm Edelstahl gebürstet",Andere,,,,

1424 290.617.000,"Duschrinne Geberit CleanLine30, Länge 300 - 1600 mm, für Raum- oder Wandmontage, ablängbar, Fliesenaufbau Boden 8 - 35 mm, ohne Rohbauset 1424 300, Edelstahl, (nicht geeignet für fugenlose Bodenbeläge) Edelstahl gebürstet",Geberit,,,,

1413 114.617.000,"Duschrinne Kaldewei Flowpoint Zero, Länge 233 mm, Breite 60 mm, Montage direkt vor der Wand oder mittig im Duschbereich, Click'n Clean- Mechanismus zum Öffnen und Reinigen, inkl. Haarsieb, ohne Ablaufgarnitur FlowDrain Edelstahl gebürstet",Kaldewei,,,,

1424 961.617.000,"Duschrinne Hansgrohe RainDrain Flex, 120 cm kürzbar, Rostbreite 76 mm, zur Wandmontage, Fertigset bestehend aus Designabdeckung mit herausnehmbarem Einsatz, Dryphon, Abdeckungsheber integriert, vor Ort kürzbar, höhenverstellbar um 10 mm, bis zu 60 l/min Ablaufleistung, mit integriertem Gefälle Edelstahl gebürstet",Andere,,,,

