"Urinal Beschreibung";"Urinal GTIN";"Unsere Art-Nr";"Element Art-Nr";"Element GTIN";"Element Beschreibung"
"Urinal D-Code, standard, ohne Zielobjekt";"4021534392214";"";"";"";""
"Urinal D-Code, standard, ohne Zielobjekt";"4021534392238";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal DuraStyle, standard, ohne Zielobjekt";"4021534863790";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal DuraStyle, standard, ohne Zielobjekt";"4021534923319";"";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
"Absauge-Urinal DuraStyle, standard, ohne Zielobjekt";"4021534923388";"";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
"Absauge-Urinal DuraStyle, standard, ohne Zielobjekt";"4021534923302";"";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
"Absauge-Urinal DuraStyle, standard, ohne Zielobjekt";"4021534923401";"";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
"Absauge-Urinal DuraStyle Dry, standard, ohne Zielobjekt";"4021534870927";"";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
"Urinal Duravit No. 1, standard, ohne Zielobjekt";"4063382182692";"";"";"";""
"Urinal Duravit No. 1, standard, ohne Zielobjekt";"4063382182678";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal Fizz, standard, ohne Zielobjekt";"4021534278259";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal Fizz, standard, ohne Zielobjekt";"4021534278013";"3421 160";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal Me by Starck, DuraShield";"4067116506969";"2141 867";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal Me by Starck, DuraShield";"4067116506617";"";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
"Absauge-Urinal Me by Starck, HygieneGlaze";"4053424052854";"";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
"Absauge-Urinal Me by Starck, standard, ohne Zielobjekt";"4053424052427";"";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
"Absauge-Urinal Me by Starck, DuraShield";"4067116507133";"";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
"Absauge-Urinal Me by Starck, HygieneGlaze";"4053424052830";"";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
"Absauge-Urinal Me by Starck, standard, ohne Zielobjekt";"4053424052373";"";"3612 406";"4064746030925";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Breite 50 cm, Höhe 112 - 130 cm, für Urinoirs Lema, Tamaro- VS New, Caprino Plus"
"Absauge-Urinal Me by Starck, DuraShield";"4067116506952";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal Me by Starck, standard";"4053424506593";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal Me by Starck, HygieneGlaze";"4053424506616";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Starck 1, standard";"4021534103612";"2147 192";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Urinal Starck 1, standard";"4021534103636";"2147 193";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
"Absauge-Urinal Starck 3, standard, ohne Zielobjekt";"4021534224133";"";"3612 403";"4064746030840";"Urinoirelement Geberit- Duofix Typ 112/130, Höhe 112 - 130 cm, Breite 50 cm, Rohbauset für Steuerung Hytronic und HyTouch, Montagerahmen, Füsse verstellbar, Absperrventil ½"""
