ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1441 735.000.000,"Badewannenträger Schedel, 1900 x 800 mm, Höhe 570 mm, Schmidlin Form, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 513.000.000,"Badewannenträger Schedel, 1700 x 700 mm, Höhe 570 mm, Kaldewei Classic Duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 495.000.000,"Badewannenträger Schedel, 1700 x 700 mm, Höhe 570 mm, Schmidlin Duett, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 427.000.000,"Badewannenträger Schedel, 1600 x 700 mm, Höhe 555 mm, Schmidlin Kombi, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 476.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 570 mm, Schmidlin Ocean, Duschteil rechts, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 509.000.000,"Badewannenträger Schedel, 1600 x 700 mm, Höhe 570 mm, Kaldewei Dynaset, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 557.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 555 mm, Kaldewei Cayono Duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 499.000.000,"Badewannenträger Schedel, 1900 x 900 mm, Höhe 570 mm, Schmidlin Duett, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 454.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 540 mm, Kaldewei Puro Next Combi / Duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 493.000.000,"Badewannenträger Schedel, 1700 x 800 mm, Höhe 570 mm, Schmidlin Kombi, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 768.000.000,"Badewannenträger Schedel, 1900 x 850 mm, Höhe 620 mm, Schmidlin Aria 50, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 418.000.000,"Badewannenträger Schedel, 2000 x 1000 mm, Höhe 570 mm, Schmidlin Free, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 507.000.000,"Badewannenträger Schedel, 1900 x 900 mm, Höhe 580 mm, Schmidlin Sola, Überlauf vorn und seitlich, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,mit,

1441 462.000.000,"Badewannenträger Schedel, 1700 x 900 mm, Höhe 555 mm, Schmidlin Vela links, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 754.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 620 mm, Schmidlin Aria 50, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 543.000.000,"Badewannenträger Schedel, 1800 x 800 mm, 8- eck, Höhe 570 mm, Kaldewei Vaio Duo 8, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 542.000.000,"Badewannenträger Schedel, 1900 x 900 mm, 6- Eck, Höhe 570 mm, Kaldewei Vaio/- star 6, Überlauf gegenüberliegend, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,mit,

1441 506.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 580 mm, Schmidlin Sola, Überlauf vorn und seitlich, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,mit,

1441 767.000.000,"Badewannenträger Schedel, 1900 x 800 mm, Höhe 620 mm, Schmidlin Aria 50, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 489.000.000,"Badewannenträger Schedel, 1700 x 700 mm, Höhe 555 mm, Schmidlin Kombinet, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 472.000.000,"Badewannenträger Schedel, 1800 x 750 mm, Höhe 570 mm, Schmidlin Norm Classic, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 465.000.000,"Badewannenträger Schedel, 1700 x 1300 mm, Höhe 555 mm, Schmidlin Vela rechts, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 532.000.000,"Badewannenträger Schedel, 1700 x 800 mm, Höhe 570 mm, Kaldewei Puro, mit seitlichem Überlauf vorne, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,mit,

1441 701.000.000,"Badewannenträger Alterna, 1900 x 900 mm, Höhe 570 mm, Alterna steel duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,,

1441 548.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 600 mm, Kaldewei Centro Duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 461.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 555 mm, Schmidlin Vela rechts, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 415.000.000,"Badewannenträger Schedel, 2000 x 900 mm, Höhe 570 mm, Schmidlin Contura Comfort, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 536.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 570 mm, Kaldewei Puro Duo 664, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 492.000.000,"Badewannenträger Schedel, 1650 x 750 mm, Höhe 570 mm, Schmidlin Kombi, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 522.000.000,"Badewannenträger Schedel, 1900 x 900 mm, Höhe 570 mm, Kaldewei Conoduo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 477.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 570 mm, Schmidlin Ocean, Duschteil links, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 555.000.000,"Badewannenträger Schedel, 1800 x 900 mm, Höhe 570 mm, Kaldewei Asymmetric Duo 742, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 769.000.000,"Badewannenträger Schedel, 1900 x 900 mm, Höhe 620 mm, Schmidlin Aria 50, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 496.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 570 mm, Schmidlin Duett, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 758.000.000,"Badewannenträger Schedel, 1750 x 800 mm, Höhe 620 mm, Schmidlin Aria 50, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 570.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 570 mm, V & B Oberon, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 529.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 570 mm, Kaldewei Puro, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 504.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 580 mm, Schmidlin Sola, Überlauf vorn und seitlich, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,mit,

1441 497.000.000,"Badewannenträger Schedel, 1800 x 750 mm, Höhe 555 mm, Schmidlin Duett, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 561.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 580 mm, Schmidlin Viva X, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 482.000.000,"Badewannenträger Schedel, 1600 x 700 mm, Höhe 570 mm, Schmidlin Contura Duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 705.000.000,"Badewannenträger Alterna, Schenkellänge 1450 mm, 5- Eck, Höhe 600 mm, Alterna marea, Duschteil links/rechts, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,,

1441 567.000.000,"Badewannenträger Schedel, 1900 x 900 mm, Höhe 610 mm, V & B Legato, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 568.000.000,"Badewannenträger Schedel, 1600 x 750 mm, Höhe 570 mm, V & B Oberon, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 478.000.000,"Badewannenträger Schedel, 1700 x 800 mm, Höhe 570 mm, Schmidlin Ocean, Duschteil rechts, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 475.000.000,"Badewannenträger Schedel, 1600 x 700 mm, Höhe 570 mm, Schmidlin Ocean, Duschteil links, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 515.000.000,"Badewannenträger Schedel, 1800 x 750 mm, Höhe 570 mm, Kaldewei Classic Duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 574.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 600 mm, V & B Oberon 2.0, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 417.000.000,"Badewannenträger Schedel, 1900 x 900 mm, Höhe 570 mm, Schmidlin Free, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

