Art-Nr (Basis);Serie;Beschreibung;PDF-Seite;VORSCHLAG (bitte prüfen!);Farben laut Katalog;Volle Art-Nr (bestätigt)
2116 121;Waschtischkombination Alterna progetto 46;Breite 62 cm, Tiefe 46 cm, Höhe 57 cm, Armaturenloch, mit Überlauf, Waschtisch a;459;2116 121.379.000/2116 121.713.000;379=Premium weiss / 713=Weiss hochglanz;
2116 122;Waschtischkombination Alterna progetto 46;Breite 82 cm, Tiefe 46 cm, Höhe 57 cm, Armaturenloch, mit Überlauf, Waschtisch a;460;2116 122.379.000/2116 122.713.000;379=Premium weiss / 713=Weiss hochglanz;
2116 123;Waschtischkombination Alterna progetto 46;Breite 102 cm, Tiefe 46 cm, Höhe 57 cm, Armaturenloch, mit Überlauf, Waschtisch ;460;2116 123.379.000/2116 123.713.000;379=Premium weiss / 713=Weiss hochglanz;
2116 124;Waschtischkombination Alterna progetto 46;Breite 122 cm, Tiefe 46 cm, Höhe 57 cm, Armaturenloch, mit Überlauf, Waschtisch ;460;2116 124.379.000/2116 124.713.000;379=Premium weiss / 713=Weiss hochglanz;
2116 125;Waschtischkombination Alterna progetto 46;Breite 122 cm, Tiefe 46 cm, Höhe 57 cm, mit 2 Armaturenlöcher, mit Überlauf, Dop;460;2116 125.379.000/2116 125.713.000;379=Premium weiss / 713=Weiss hochglanz;
2116 126;Waschtischkombination Alterna progetto 46;Breite 122 cm, Tiefe 46 cm, Höhe 57 cm, mit 2 Armaturenlöcher, mit Überlauf, Dop;460;2116 126.379.000/2116 126.713.000;379=Premium weiss / 713=Weiss hochglanz;
2112 267;Waschtischkombination Laufen Pro S;Breite 60 cm, Tiefe 50 cm, Höhe 54,5 cm, Armaturenloch, mit Überlauf, Waschtisch;562;2112 267.232.000/2112 267.536.000/2112 267.713.000/2112 267.922.000;232=Graphit / 536=Weiss matt / 713=Weiss hochglanz / 922=Eiche hell;
2112 268;Waschtischkombination Laufen Pro S;Breite 80 cm, Tiefe 50 cm, Höhe 54,5 cm, Armaturenloch, mit Überlauf, Waschtisch;562;2112 268.232.000/2112 268.536.000/2112 268.713.000/2112 268.922.000;232=Graphit / 536=Weiss matt / 713=Weiss hochglanz / 922=Eiche hell;
2112 269;Waschtischkombination Laufen Pro S;Breite 100 cm, Tiefe 50 cm, Höhe 54,5 cm, Armaturenloch, mit Überlauf, Waschtisc;562;2112 269.232.000/2112 269.536.000/2112 269.713.000/2112 269.922.000;232=Graphit / 536=Weiss matt / 713=Weiss hochglanz / 922=Eiche hell;
2112 273;Waschtischkombination Laufen Pro S;Breite 120 cm, Tiefe 50 cm, Höhe 54,5 cm, Armaturenloch, mit Überlauf, Waschtisc;562;2112 273.232.000/2112 273.536.000/2112 273.713.000/2112 273.922.000;232=Graphit / 536=Weiss matt / 713=Weiss hochglanz / 922=Eiche hell;
2112 274;Waschtischkombination Laufen Pro S;Breite 120 cm, Tiefe 50 cm, Höhe 54,5 cm, mit 2 Armaturenlöcher, mit Überlauf, W;563;2112 274.232.000/2112 274.536.000/2112 274.713.000/2112 274.922.000;232=Graphit / 536=Weiss matt / 713=Weiss hochglanz / 922=Eiche hell;
2231 800;Auflegewaschtisch Catalano Zero;Ø 32 cm, Höhe 12 cm, ohne Überlauf, ohne Armaturenbank 202: Cleaneffekt;637;2231 800.105.000/2231 800.535.202/2231 800.536.202;105=Weiss Cleaneffekt / 535=Schwarz matt +202 Cleaneffekt / 536=Weiss matt +202 Cleaneffekt;
