Art-Nr (Basis);Serie;Beschreibung;PDF-Seite;Volle Art-Nr (bitte ausfüllen)
2116 121;Waschtischkombination Alterna progetto 46;Breite 62 cm, Tiefe 46 cm, Höhe 57 cm, Armaturenloch, mit Überlauf, Waschtisch aus Keramik;459;
2116 122;Waschtischkombination Alterna progetto 46;Breite 82 cm, Tiefe 46 cm, Höhe 57 cm, Armaturenloch, mit Überlauf, Waschtisch aus Keramik;460;
2116 123;Waschtischkombination Alterna progetto 46;Breite 102 cm, Tiefe 46 cm, Höhe 57 cm, Armaturenloch, mit Überlauf, Waschtisch aus Kerami;460;
2116 124;Waschtischkombination Alterna progetto 46;Breite 122 cm, Tiefe 46 cm, Höhe 57 cm, Armaturenloch, mit Überlauf, Waschtisch aus Kerami;460;
2116 125;Waschtischkombination Alterna progetto 46;Breite 122 cm, Tiefe 46 cm, Höhe 57 cm, mit 2 Armaturenlöcher, mit Überlauf, Doppelwaschti;460;
2116 126;Waschtischkombination Alterna progetto 46;Breite 122 cm, Tiefe 46 cm, Höhe 57 cm, mit 2 Armaturenlöcher, mit Überlauf, Doppelwaschti;460;
2112 267;Waschtischkombination Laufen Pro S;Breite 60 cm, Tiefe 50 cm, Höhe 54,5 cm, Armaturenloch, mit Überlauf, Waschtisch aus Keram;562;
2112 268;Waschtischkombination Laufen Pro S;Breite 80 cm, Tiefe 50 cm, Höhe 54,5 cm, Armaturenloch, mit Überlauf, Waschtisch aus Keram;562;
2112 269;Waschtischkombination Laufen Pro S;Breite 100 cm, Tiefe 50 cm, Höhe 54,5 cm, Armaturenloch, mit Überlauf, Waschtisch aus Kera;562;
2112 273;Waschtischkombination Laufen Pro S;Breite 120 cm, Tiefe 50 cm, Höhe 54,5 cm, Armaturenloch, mit Überlauf, Waschtisch aus Kera;562;
2112 274;Waschtischkombination Laufen Pro S;Breite 120 cm, Tiefe 50 cm, Höhe 54,5 cm, mit 2 Armaturenlöcher, mit Überlauf, Waschtisch ;563;
2231 800;Auflegewaschtisch Catalano Zero;Ø 32 cm, Höhe 12 cm, ohne Überlauf, ohne Armaturenbank 202: Cleaneffekt;637;
2231 830;Auflegewaschtisch Catalano Zero;Ø 40 cm, Höhe 13 cm, ohne Überlauf, ohne Armaturenbank 202: Cleaneffekt;637;
2231 810;Auflegewaschtisch Catalano Zero;Ø 45 cm, Höhe 13 cm, ohne Überlauf, ohne Armaturenbank 202: Cleaneffekt;637;
2231 839;Auflegewaschtisch Catalano Zero;60 x 35 cm, Höhe 12 cm, ohne Überlauf, ohne Armaturenbank 202: Cleaneffekt;637;
2231 840;Auflegewaschtisch Catalano Zero;70 x 35 cm, Höhe 12 cm, ohne Überlauf, ohne Armaturenbank 202: Cleaneffekt;638;
2231 638;Auflegewaschtisch Catalano Sfera;Ø 40 cm, Höhe 7,5 cm, ohne Überlauf, ohne Armaturenbank 202: Cleaneffekt;654;
2231 639;Auflegewaschtisch Catalano Sfera;58 x 40 cm, Höhe 7,5 cm, ohne Überlauf, ohne Armaturenbank;655;
2231 640;Auflegewaschtisch Catalano Sfera;Ø 32 cm, Höhe 14 cm, ohne Überlauf, ohne Armaturenbank : Cleaneffekt 423, 535, 536;655;
2231 641;Auflegewaschtisch Catalano Sfera;Ø 42 cm, Höhe 16 cm, ohne Überlauf, ohne Armaturenbank : Cleaneffekt 423, 535, 536;655;
2231 642;Auflegewaschtisch Catalano Sfera;Ø 42 cm, Höhe 22 cm, ohne Überlauf, ohne Armaturenbank 202: Cleaneffekt;655;
2231 643;Auflegewaschtisch Catalano Sfera;50 x 35 cm, Höhe 16 cm, ohne Überlauf, ohne Armaturenbank : Cleaneffekt 423, 535, 536;655;
2231 644;Auflegewaschtisch Catalano Sfera;60 x 37 cm, Höhe 16 cm, ohne Überlauf, ohne Armaturenbank : Cleaneffekt 423, 535, 536;655;
2231 650;Auflegewaschtisch Catalano Sfera;60 x 42 cm, Höhe 16 cm, ohne Überlauf, ohne Armaturenbank : Cleaneffekt 423, 535, 536;656;
2231 707;Auflegewaschtisch Catalano Green;Ø 40 cm, Höhe 15 cm, ohne Überlauf, ohne Armaturenbank : Cleaneffekt 423, 535, 536;661;
2231 708;Auflegewaschtisch Catalano Green;60 x 38 cm, Höhe 15 cm, ohne Überlauf, ohne Armaturenbank : Cleaneffekt 423, 535, 536;661;
2231 709;Auflegewaschtisch Catalano Green;60 x 38 cm, Höhe 14 cm, ohne Überlauf, ohne Armaturenbank 202: Cleaneffekt;661;
2311 107;Auflegewaschtisch Villeroy & Boch Antao;51 x 40 cm, Höhe 14,5 cm, ohne Überlauf, Ablaufventil mit Keramikabdeckung, Befestigungsma;685;
2311 108;Auflegewaschtisch Villeroy & Boch Antao;65 x 40 cm, Höhe 14,5 cm, ohne Überlauf, Ablaufventil mit Keramikabdeckung, Befestigungsma;686;
