Product Number,Quantity
1424 930.000.000,1
1424 931.000.000,1
1424 932.000.000,1
1111 312.000.000,1
1424 300.000.000,1
1431 423.000.000,1
1424 423.000.000,1
1413 118.000.000,1
1942 206.000.000,1
1942 205.000.000,1
1942 135.617.000,1
1942 215.000.000,1
1424 310.000.000,1
1424 322.000.000,1
1424 940.000.000,1
1424 942.000.000,1
1424 944.000.000,1
1424 941.000.000,1
1424 945.000.000,1
1424 943.000.000,1
1424 593.000.000,1
1424 557.000.000,1
1424 556.000.000,1
1424 709.535.000,1
1424 711.535.000,1
1424 712.000.000,1
1943 317.000.000,1
1424 590.000.000,1
1424 595.000.000,1
1424 527.000.000,1
1424 568.000.000,1
1424 567.000.000,1
1424 524.000.000,1
1943 311.523.000,1
1424 709.523.000,1
1424 711.000.000,1
1424 528.000.000,1
1111 497.000.000,1
1943 329.523.000,1
1424 709.210.000,1
1424 711.210.000,1
1424 521.000.000,1
1424 526.000.000,1
1424 525.000.000,1
1943 314.523.000,1
1424 523.000.000,1
1943 315.523.000,1
1943 316.524.000,1
1943 313.524.000,1
1424 522.000.000,1
