ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
2111 838.100.000,"Stand- Klosett Moderna R rimless, Abgang waagrecht, sichtbare Befestigung, Befestigungsmaterial Umweltdeklaration EPD Weiss",Andere,,,,

3231 320.100.000,"Stand- Klosett Laufen Pascha, Abgang senkrecht Umweltdeklaration EPD Weiss",Laufen,,,,

2111 875.100.000,"Stand- Klosett Moderna R - S 15, Abgang senkrecht, sichtbare Befestigung Umweltdeklaration EPD Weiss",Andere,,,,

2111 879.100.000,"Stand- Klosett Moderna R - S 25, Abgang senkrecht, sichtbare Befestigung Umweltdeklaration EPD Weiss",Andere,,,,

3231 122.100.000,"Stand- Klosett Geberit Renova, Abgang waagerecht, für Spülkastenmontage, sichtbare Befestigung, Befestigungsmaterial Umweltdeklaration EPD Weiss",Geberit,,,,

3231 325.100.000,"Stand- Klosett Laufen Sedan, Abgang senkrecht Umweltdeklaration EPD Weiss",Laufen,,,,

2112 471.100.000,"Stand- Klosett Laufen Pro, Abgang waagrecht, sichtbare Befestigung Umweltdeklaration EPD Weiss",Laufen,,,,

2112 467.100.000,"Stand- Klosett Laufen Pro rimless, Abgang waagrecht, sichtbare Befestigung, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,,,,

2112 775.100.000,"Stand- Klosett Laufen Kartell rimless, Abgang waagerecht, für Spülkastenmontage, verdeckte Befestigung, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,,,,

2112 470.100.000,"Stand- Klosett Pro rimless, für Einbauspülkasten, Abgang waagrecht, sichtbare Befestigung, Befestigungsmaterial, Spülkastenkompatibiltät prüfen Umweltdeklaration EPD Weiss",Andere,,,,

2111 329.100.000,"Stand- Klosett Laufen Lua rimless, 65, Abgang waagerecht, für Spülkastenmontage, verdeckte Befestigung, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,,,,

2111 720.100.000,"Stand- Klosett Laufen Moderna S rimless, silent- flush, Abgang waagrecht, sichtbare Befestigung, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,,,,

