ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1311 338.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1600 x 800 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 331.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1200 x 900 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 340.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1600 x 1000 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 321.000.000,"Duschen- Montageset Schmidlin Swiss Line, 900 x 750 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 332.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1200 x 1000 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 342.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1700 x 800 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 329.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1100 x 900 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 336.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1400 x 900 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 341.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1700 x 750 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 335.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1400 x 800 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 327.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1000 x 1000 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 325.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1000 x 800 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 330.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1200 x 800 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 328.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1100 x 800 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 334.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1300 x 900 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 323.000.000,"Duschen- Montageset Schmidlin Swiss Line, 900 x 900 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 339.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1600 x 900 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 322.000.000,"Duschen- Montageset Schmidlin Swiss Line, 900 x 800 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 333.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1300 x 800 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

1311 337.000.000,"Duschen- Montageset Schmidlin Swiss Line, 1400 x 1000 mm, für Duschwannen / Duschflächen, mit Montagerahmen Omnia, Fussset, Dichtband 6 m inkl. Schnittschutz, Viega Ablaufgarnitur und Ablaufdeckel Tempoplex, verchromt, Montagehöhe 100 - 200 mm",Andere,,,,

